dataset,zone,regime,model,lookback_hours,patch_hours,patch_count,selected_anchor,spike_threshold,mae,rmse,smape,n
OPSD,DE_LU,all,DLinear-style sequence ridge,168,24,7,TDConv-style sequence ridge,24.38000000000001,2.5056437919401855,4.971983821340332,12.21222915119303,3471
OPSD,DE_LU,all,NLinear-style sequence ridge,168,24,7,TDConv-style sequence ridge,24.38000000000001,2.503986194583491,4.972073316974527,12.29616750482969,3471
OPSD,DE_LU,all,TDConv-style sequence ridge,168,24,7,TDConv-style sequence ridge,24.38000000000001,2.441280922801716,4.845425172024366,12.092302036186004,3471
OPSD,DE_LU,all,Patch-attention sequence ridge,168,24,7,TDConv-style sequence ridge,24.38000000000001,2.528996855664771,4.804182041310321,12.366128306311417,3471
OPSD,DE_LU,all,Calibration-selected strong anchor (TDConv-style sequence ridge),168,24,7,TDConv-style sequence ridge,24.38000000000001,2.441280922801716,4.845425172024366,12.092302036186004,3471
OPSD,DE_LU,spike,DLinear-style sequence ridge,168,24,7,TDConv-style sequence ridge,24.38000000000001,6.508530461506073,13.156008000889923,35.3625792771397,251
OPSD,DE_LU,spike,NLinear-style sequence ridge,168,24,7,TDConv-style sequence ridge,24.38000000000001,6.504758233907942,13.170563304425068,35.60905772703586,251
OPSD,DE_LU,spike,TDConv-style sequence ridge,168,24,7,TDConv-style sequence ridge,24.38000000000001,6.36086861671836,12.78493933857806,34.97291057216042,251
OPSD,DE_LU,spike,Patch-attention sequence ridge,168,24,7,TDConv-style sequence ridge,24.38000000000001,6.465722067764654,12.026528908015008,36.01506423139869,251
OPSD,DE_LU,spike,Calibration-selected strong anchor (TDConv-style sequence ridge),168,24,7,TDConv-style sequence ridge,24.38000000000001,6.36086861671836,12.78493933857806,34.97291057216042,251
OPSD,DE_LU,non_spike,DLinear-style sequence ridge,168,24,7,TDConv-style sequence ridge,24.38000000000001,2.193617532915018,3.6271091817237133,10.407652169325758,3220
OPSD,DE_LU,non_spike,NLinear-style sequence ridge,168,24,7,TDConv-style sequence ridge,24.38000000000001,2.1921247716423613,3.623121646014672,10.478920471980699,3220
OPSD,DE_LU,non_spike,TDConv-style sequence ridge,168,24,7,TDConv-style sequence ridge,24.38000000000001,2.1357478447976543,3.5449867710990883,10.30875149502775,3220
