task,zone,model,mae,rmse,smape,n
price_forecasting,DE_LU,Persist-1h,3.591817403708987,6.3175493497099,15.722340945183008,3505
price_forecasting,DE_LU,Seasonal-24h,8.986710413694722,14.57797082521722,35.5410482040335,3505
price_forecasting,DE_LU,Seasonal-168h,8.503372325249643,13.795267442971515,35.11568779447289,3505
price_forecasting,DE_LU,Linear-lag-calendar-exog,3.1456180646099767,5.515613319875167,14.634978250708897,3505
price_forecasting,DK_1,Persist-1h,3.187585830521929,5.425515857126924,17.340440727732958,10078
price_forecasting,DK_1,Seasonal-24h,8.958888668386583,13.213058919760666,44.20722699350625,10078
price_forecasting,DK_1,Seasonal-168h,9.861664020639015,13.847558154728258,48.78102809058713,10078
price_forecasting,DK_1,Linear-lag-calendar-exog,3.072824579131215,5.014689230383825,18.727958952826615,10072
price_forecasting,DK_2,Persist-1h,3.159870013891645,5.644588121776196,13.957158082208112,10078
price_forecasting,DK_2,Seasonal-24h,8.628082952966858,13.041693428905248,36.549628568512794,10078
price_forecasting,DK_2,Seasonal-168h,9.368077991665013,13.599167678571757,40.14245072096016,10078
price_forecasting,DK_2,Linear-lag-calendar-exog,3.0760355064414067,5.147115983780432,15.135003078591906,10072
price_forecasting,GB_GBN,Persist-1h,3.87166335255518,5.596279866980607,13.645408820252749,10058
price_forecasting,GB_GBN,Seasonal-24h,5.947681447603898,9.076367803010516,21.95473866017154,10058
price_forecasting,GB_GBN,Seasonal-168h,6.402335454364685,9.454477553219684,23.487753950823688,10058
price_forecasting,GB_GBN,Linear-lag-calendar-exog,3.3083348286619105,4.847407510357507,12.666615148157808,10053
load_forecasting,DE_LU,Persist-1h,1820.1580599144079,2362.0168928263715,3.670955248680615,3505
load_forecasting,DE_LU,Seasonal-24h,3998.257631954351,6107.73989225481,8.032669175846022,3505
load_forecasting,DE_LU,Seasonal-168h,1861.0456490727531,3195.8229144796596,3.7184237559361155,3505
load_forecasting,DE_LU,Linear-lag-calendar-exog,1104.9980009434255,1495.3510891596438,2.178466738001852,3505
load_forecasting,DK_1,Persist-1h,97.49996527088707,131.6238137520195,4.144512275191427,10078
load_forecasting,DK_1,Seasonal-24h,159.46388767612623,243.26363723959304,6.720805427471229,10078
load_forecasting,DK_1,Seasonal-168h,110.596008136535,168.23420792916372,4.654725344566627,10078
load_forecasting,DK_1,Linear-lag-calendar-exog,62.51849935421954,88.85568553928444,2.5935997787051113,10078
load_forecasting,DK_2,Persist-1h,64.43362770390951,104.78849665339771,4.443163135124235,10078
load_forecasting,DK_2,Seasonal-24h,68.19633855923794,122.32767918707803,4.53471995960718,10078
load_forecasting,DK_2,Seasonal-168h,58.85819507838856,103.23086637466905,3.963299030746914,10078
load_forecasting,DK_2,Linear-lag-calendar-exog,36.8695001472687,71.8814755867761,2.4385839029419487,10078
load_forecasting,GB_GBN,Persist-1h,1737.7864386557965,2513.7118460118445,5.865955977390958,10058
load_forecasting,GB_GBN,Seasonal-24h,2141.361304434281,3104.241737039903,7.2527765438399605,10058
load_forecasting,GB_GBN,Seasonal-168h,2238.372340425532,3112.0541014359737,7.624023118948584,10058
load_forecasting,GB_GBN,Linear-lag-calendar-exog,1174.475409419803,1754.3552324302225,3.93233454527512,10058
