dataset,zone,regime,model,anchor_model,residual_shrinkage,spike_threshold,mae,rmse,smape,n,anchor_rmse,anchor_mae,rmse_improvement_pct_vs_anchor,mae_improvement_pct_vs_anchor
OPSD,DE_LU,all,NLinear-style sequence ridge,NLinear-style sequence ridge,0.0,24.38000000000001,2.503986194583491,4.972073316974527,12.29616750482969,3471,4.972073316974527,2.503986194583491,0.0,0.0
OPSD,DE_LU,all,Sequence-anchored GraphPatch residual,NLinear-style sequence ridge,0.8,24.38000000000001,2.395006429954712,4.7192402655959675,12.037554454086887,3471,4.972073316974527,2.503986194583491,5.085062815051293,4.352251017378578
OPSD,DE_LU,spike,NLinear-style sequence ridge,NLinear-style sequence ridge,0.0,24.38000000000001,6.504758233907942,13.170563304425068,35.60905772703586,251,13.170563304425068,6.504758233907942,0.0,0.0
OPSD,DE_LU,spike,Sequence-anchored GraphPatch residual,NLinear-style sequence ridge,0.8,24.38000000000001,6.19034196712406,12.245474131968024,35.95151099691586,251,13.170563304425068,6.504758233907942,7.023915007084253,4.833634940417856
OPSD,DE_LU,non_spike,NLinear-style sequence ridge,NLinear-style sequence ridge,0.0,24.38000000000001,2.1921247716423613,3.623121646014672,10.478920471980699,3220,3.623121646014672,2.1921247716423613,0.0,0.0
OPSD,DE_LU,non_spike,Sequence-anchored GraphPatch residual,NLinear-style sequence ridge,0.8,24.38000000000001,2.0991588461567283,3.509772247027687,10.173454114878789,3220,3.623121646014672,2.1921247716423613,3.1285010568625466,4.24090483754636
OPSD,DK_1,all,NLinear-style sequence ridge,NLinear-style sequence ridge,0.0,16.91,2.5292504881166353,4.298106242328936,17.187830802428987,10043,4.298106242328936,2.5292504881166353,0.0,0.0
OPSD,DK_1,all,Sequence-anchored GraphPatch residual,NLinear-style sequence ridge,0.4,16.91,2.499319099550268,4.254913395425233,17.001697677561033,10043,4.298106242328936,2.5292504881166353,1.0049273905406988,1.1834094213679631
OPSD,DK_1,spike,NLinear-style sequence ridge,NLinear-style sequence ridge,0.0,16.91,3.904781297751908,6.672206484119488,27.483139088425503,1718,6.672206484119488,3.904781297751908,0.0,0.0
OPSD,DK_1,spike,Sequence-anchored GraphPatch residual,NLinear-style sequence ridge,0.4,16.91,3.8632072974844207,6.600644876189362,27.230091759812364,1718,6.672206484119488,3.904781297751908,1.072532873502184,1.0646947190466842
OPSD,DK_1,non_spike,NLinear-style sequence ridge,NLinear-style sequence ridge,0.0,16.91,2.2453871931072182,3.619251752079706,15.063225440826344,8325,3.619251752079706,2.2453871931072182,0.0,0.0
OPSD,DK_1,non_spike,Sequence-anchored GraphPatch residual,NLinear-style sequence ridge,0.4,16.91,2.2178584480126253,3.584595997123153,14.890901157043585,8325,3.619251752079706,2.2453871931072182,0.9575392188907199,1.2260132764228517
OPSD,DK_2,all,NLinear-style sequence ridge,NLinear-style sequence ridge,0.0,16.880000000000003,2.5784274495649155,4.482901576217681,13.613614981742353,10043,4.482901576217681,2.5784274495649155,0.0,0.0
OPSD,DK_2,all,Sequence-anchored GraphPatch residual,NLinear-style sequence ridge,0.6000000000000001,16.880000000000003,2.536833716867932,4.4208520341839925,13.437817324726641,10043,4.482901576217681,2.5784274495649155,1.3841379512516687,1.6131434182490678
OPSD,DK_2,spike,NLinear-style sequence ridge,NLinear-style sequence ridge,0.0,16.880000000000003,4.246767380990712,6.955536959162281,21.844478892762485,1712,6.955536959162281,4.246767380990712,0.0,0.0
OPSD,DK_2,spike,Sequence-anchored GraphPatch residual,NLinear-style sequence ridge,0.6000000000000001,16.880000000000003,4.15292092634737,6.859264004782323,21.568356017085968,1712,6.955536959162281,4.246767380990712,1.3841196581256199,2.2098327086012577
OPSD,DK_2,non_spike,NLinear-style sequence ridge,NLinear-style sequence ridge,0.0,16.880000000000003,2.2355876989226195,3.779457842750628,11.922192701623944,8331,3.779457842750628,2.2355876989226195,0.0,0.0
OPSD,DK_2,non_spike,Sequence-anchored GraphPatch residual,NLinear-style sequence ridge,0.6000000000000001,16.880000000000003,2.2047317720079147,3.727144451196647,11.767011630173865,8331,3.779457842750628,2.2355876989226195,1.3841506832606392,1.380215454288598
OPSD,GB_GBN,all,NLinear-style sequence ridge,NLinear-style sequence ridge,0.0,17.08,3.002758590098285,4.390874268069165,11.768595136084006,10016,4.390874268069165,3.002758590098285,0.0,0.0
OPSD,GB_GBN,all,Sequence-anchored GraphPatch residual,NLinear-style sequence ridge,0.6000000000000001,17.08,2.846643328897372,4.137658778402577,10.991847578561408,10016,4.390874268069165,3.002758590098285,5.766858129097298,5.199061346979719
OPSD,GB_GBN,spike,NLinear-style sequence ridge,NLinear-style sequence ridge,0.0,17.08,6.1357080824299155,8.608486105845829,34.26228781807165,767,8.608486105845829,6.1357080824299155,0.0,0.0
OPSD,GB_GBN,spike,Sequence-anchored GraphPatch residual,NLinear-style sequence ridge,0.6000000000000001,17.08,5.857166137867257,8.15565751100253,32.23780754414887,767,8.608486105845829,6.1357080824299155,5.260258183326714,4.539687038897528
OPSD,GB_GBN,non_spike,NLinear-style sequence ridge,NLinear-style sequence ridge,0.0,17.08,2.742949717720908,3.8383787487336463,9.903240796470584,9249,3.8383787487336463,2.742949717720908,0.0,0.0
OPSD,GB_GBN,non_spike,Sequence-anchored GraphPatch residual,NLinear-style sequence ridge,0.6000000000000001,17.08,2.5969870423280232,3.608882980675668,9.229965073035885,9249,3.8383787487336463,2.742949717720908,5.978976622192198,5.321376270585219
