zone,train_quantile,threshold,n,anchor_rmse,graphpatch_rmse,rmse_gain_pct,mae_gain_pct,paired_n,wins,losses,win_rate,p_approx
DE_LU,0.85,19.475,387,11.305853940088735,10.571469408375966,6.495613118693841,4.997963226366961,387,207,180,0.5348837209302325,0.1699118417314921
DE_LU,0.9,24.38000000000001,251,13.17056330442507,12.245474131968024,7.023915007084265,4.833634940417856,251,130,121,0.5179282868525896,0.5699840677206466
DE_LU,0.95,33.105,126,17.244512047031854,15.817503490817074,8.275146042537042,6.612426429712764,126,73,53,0.5793650793650794,0.0747913775869442
DK_1,0.85,13.129999999999995,2557,5.977393440771789,5.913671566277072,1.0660478539035092,1.0939461222392237,2557,1423,1134,0.5565115369573719,1.095662039258768e-08
DK_1,0.9,16.91,1718,6.672206484119489,6.600644876189362,1.072532873502197,1.0646947190467069,1718,947,771,0.5512223515715948,2.1742047752439934e-05
DK_1,0.95,23.180000000000003,870,8.000028765076403,7.910005045740807,1.1252924455545528,1.1269130921146668,870,491,379,0.5643678160919541,0.00014636590943283023
DK_2,0.85,13.170000000000002,2479,6.246025911144237,6.151202425891856,1.5181410804459845,2.40283104134685,2479,1402,1077,0.5655506252521177,6.688846968081629e-11
DK_2,0.9,16.880000000000003,1712,6.9555369591622815,6.859264004782321,1.3841196581256578,2.2098327086012577,1712,952,760,0.5560747663551402,3.4784457263246344e-06
DK_2,0.95,22.763999999999946,979,7.952888168689593,7.857933334920705,1.1939666666346946,1.808696344346757,979,524,455,0.5352400408580184,0.02743658692717689
GB_GBN,0.85,13.889999999999986,1270,7.60271614115789,7.155648255610307,5.88037061027895,4.70690489628858,1270,663,607,0.5220472440944882,0.1160902550642044
GB_GBN,0.9,17.08,767,8.608486105845829,8.155657511002529,5.260258183326735,4.539687038897513,767,399,368,0.5202086049543677,0.2629929320698952
GB_GBN,0.95,23.8,302,10.955361461731728,10.503057736989529,4.128606128808671,0.47269328118012577,302,144,158,0.4768211920529801,0.42046806193002506
