dataset,zone,regime,model,anchor_model,residual_shrinkage,spike_threshold,mae,rmse,smape,n,anchor_rmse,anchor_mae,rmse_improvement_pct_vs_anchor,mae_improvement_pct_vs_anchor
OPSD,DE_LU,all,DLinear-style sequence ridge,TDConv-style sequence ridge,0.0,24.38000000000001,2.5056437919401855,4.971983821340332,12.21222915119303,3471,4.845425172024366,2.441280922801716,-2.611920416120899,-2.6364384588973953
OPSD,DE_LU,all,NLinear-style sequence ridge,TDConv-style sequence ridge,0.0,24.38000000000001,2.503986194583491,4.972073316974527,12.29616750482969,3471,4.845425172024366,2.441280922801716,-2.6137674291490174,-2.568539785655307
OPSD,DE_LU,all,TDConv-style sequence ridge,TDConv-style sequence ridge,0.0,24.38000000000001,2.441280922801716,4.845425172024366,12.092302036186004,3471,4.845425172024366,2.441280922801716,0.0,0.0
OPSD,DE_LU,all,Selected anchor: TDConv-style sequence ridge,TDConv-style sequence ridge,0.0,24.38000000000001,2.441280922801716,4.845425172024366,12.092302036186004,3471,4.845425172024366,2.441280922801716,0.0,0.0
OPSD,DE_LU,all,TDConv-inclusive GraphPatch residual,TDConv-style sequence ridge,0.9,24.38000000000001,2.4168306169115175,4.759790911101836,12.146449151362177,3471,4.845425172024366,2.441280922801716,1.7673219146371113,1.0015359421290269
OPSD,DE_LU,spike,DLinear-style sequence ridge,TDConv-style sequence ridge,0.0,24.38000000000001,6.508530461506073,13.156008000889923,35.3625792771397,251,12.78493933857806,6.36086861671836,-2.9023889162475567,-2.321410072825765
OPSD,DE_LU,spike,NLinear-style sequence ridge,TDConv-style sequence ridge,0.0,24.38000000000001,6.504758233907942,13.170563304425068,35.60905772703586,251,12.78493933857806,6.36086861671836,-3.0162361794193506,-2.262106417532265
OPSD,DE_LU,spike,TDConv-style sequence ridge,TDConv-style sequence ridge,0.0,24.38000000000001,6.36086861671836,12.78493933857806,34.97291057216042,251,12.78493933857806,6.36086861671836,0.0,0.0
OPSD,DE_LU,spike,Selected anchor: TDConv-style sequence ridge,TDConv-style sequence ridge,0.0,24.38000000000001,6.36086861671836,12.78493933857806,34.97291057216042,251,12.78493933857806,6.36086861671836,0.0,0.0
OPSD,DE_LU,spike,TDConv-inclusive GraphPatch residual,TDConv-style sequence ridge,0.9,24.38000000000001,6.275936736702376,12.434430701211406,36.59495643919002,251,12.78493933857806,6.36086861671836,2.741574504847333,1.3352245602551212
OPSD,DE_LU,non_spike,DLinear-style sequence ridge,TDConv-style sequence ridge,0.0,24.38000000000001,2.193617532915018,3.6271091817237133,10.407652169325758,3220,3.5449867710990883,2.1357478447976543,-2.316578761143409,-2.7095749275049092
OPSD,DE_LU,non_spike,NLinear-style sequence ridge,TDConv-style sequence ridge,0.0,24.38000000000001,2.1921247716423613,3.623121646014672,10.478920471980699,3220,3.5449867710990883,2.1357478447976543,-2.2040949645450585,-2.639680849124221
OPSD,DE_LU,non_spike,TDConv-style sequence ridge,TDConv-style sequence ridge,0.0,24.38000000000001,2.1357478447976543,3.5449867710990883,10.30875149502775,3220,3.5449867710990883,2.1357478447976543,0.0,0.0
OPSD,DE_LU,non_spike,Selected anchor: TDConv-style sequence ridge,TDConv-style sequence ridge,0.0,24.38000000000001,2.1357478447976543,3.5449867710990883,10.30875149502775,3220,3.5449867710990883,2.1357478447976543,0.0,0.0
OPSD,DE_LU,non_spike,TDConv-inclusive GraphPatch residual,TDConv-style sequence ridge,0.9,24.38000000000001,2.1160120963936584,3.5170056633595226,10.240680415571871,3220,3.5449867710990883,2.1357478447976543,0.7893148704442268,0.9240673449381734
OPSD,DK_1,all,DLinear-style sequence ridge,NLinear-style sequence ridge,0.0,16.91,2.530936567198602,4.297718202140063,17.169645811629234,10043,4.298106242328936,2.5292504881166353,0.009028166522551036,-0.06666319092902966
OPSD,DK_1,all,NLinear-style sequence ridge,NLinear-style sequence ridge,0.0,16.91,2.5292504881166353,4.298106242328936,17.187830802428987,10043,4.298106242328936,2.5292504881166353,0.0,0.0
OPSD,DK_1,all,TDConv-style sequence ridge,NLinear-style sequence ridge,0.0,16.91,2.5556473424637005,4.31065581896471,17.238551306768162,10043,4.298106242328936,2.5292504881166353,-0.2919792096384688,-1.0436631117039403
OPSD,DK_1,all,Selected anchor: NLinear-style sequence ridge,NLinear-style sequence ridge,0.0,16.91,2.5292504881166353,4.298106242328936,17.187830802428987,10043,4.298106242328936,2.5292504881166353,0.0,0.0
OPSD,DK_1,all,TDConv-inclusive GraphPatch residual,NLinear-style sequence ridge,0.4,16.91,2.499319099550268,4.254913395425233,17.001697677561033,10043,4.298106242328936,2.5292504881166353,1.0049273905406988,1.1834094213679631
OPSD,DK_1,spike,DLinear-style sequence ridge,NLinear-style sequence ridge,0.0,16.91,3.9075694882525336,6.6687494644138345,27.39440276340148,1718,6.672206484119488,3.904781297751908,0.0518122410312271,-0.07140452404417555
OPSD,DK_1,spike,NLinear-style sequence ridge,NLinear-style sequence ridge,0.0,16.91,3.904781297751908,6.672206484119488,27.483139088425503,1718,6.672206484119488,3.904781297751908,0.0,0.0
OPSD,DK_1,spike,TDConv-style sequence ridge,NLinear-style sequence ridge,0.0,16.91,3.9068611152436867,6.681901823164816,27.241488404287928,1718,6.672206484119488,3.904781297751908,-0.1453093375992538,-0.05326335415958605
OPSD,DK_1,spike,Selected anchor: NLinear-style sequence ridge,NLinear-style sequence ridge,0.0,16.91,3.904781297751908,6.672206484119488,27.483139088425503,1718,6.672206484119488,3.904781297751908,0.0,0.0
OPSD,DK_1,spike,TDConv-inclusive GraphPatch residual,NLinear-style sequence ridge,0.4,16.91,3.8632072974844207,6.600644876189362,27.230091759812364,1718,6.672206484119488,3.904781297751908,1.072532873502184,1.0646947190466842
OPSD,DK_1,non_spike,DLinear-style sequence ridge,NLinear-style sequence ridge,0.0,16.91,2.246845833460385,3.620010633320165,15.059599872512749,8325,3.619251752079706,2.2453871931072182,-0.02096790420901269,-0.06496164036405658
OPSD,DK_1,non_spike,NLinear-style sequence ridge,NLinear-style sequence ridge,0.0,16.91,2.2453871931072182,3.619251752079706,15.063225440826344,8325,3.619251752079706,2.2453871931072182,0.0,0.0
OPSD,DK_1,non_spike,TDConv-style sequence ridge,NLinear-style sequence ridge,0.0,16.91,2.2768022659909057,3.63353764741767,15.17428152496168,8325,3.619251752079706,2.2453871931072182,-0.39471958063584023,-1.399093794608074
OPSD,DK_1,non_spike,Selected anchor: NLinear-style sequence ridge,NLinear-style sequence ridge,0.0,16.91,2.2453871931072182,3.619251752079706,15.063225440826344,8325,3.619251752079706,2.2453871931072182,0.0,0.0
OPSD,DK_1,non_spike,TDConv-inclusive GraphPatch residual,NLinear-style sequence ridge,0.4,16.91,2.2178584480126253,3.584595997123153,14.890901157043585,8325,3.619251752079706,2.2453871931072182,0.9575392188907199,1.2260132764228517
OPSD,DK_2,all,DLinear-style sequence ridge,NLinear-style sequence ridge,0.0,16.880000000000003,2.5805430881935503,4.482834328404807,13.591889336009075,10043,4.482901576217681,2.5784274495649155,0.001500095679784135,-0.08205150891454108
OPSD,DK_2,all,NLinear-style sequence ridge,NLinear-style sequence ridge,0.0,16.880000000000003,2.5784274495649155,4.482901576217681,13.613614981742353,10043,4.482901576217681,2.5784274495649155,0.0,0.0
