path,size_bytes,sha256,role
DATA_LICENSE_AND_REDISTRIBUTION.md,1831,7534cd804a744d87be0089fe76531f37109d11509a20d979eef45ddf0c0d4d77,documentation
EXPERIMENT_RUNBOOK.md,82556,115b2f193f3384992edaf870eb799def087bb56f4a3443c8b601183969b94868,documentation
README.md,6300,2bedbbd3f8afacf1612f8aba9079341f9de1043fabd21e3e12a87d29147dbe87,top_level_metadata
REPRODUCE_RESULTS.sh,863,9b478ac23aaf474d7981a4212d122683398fa30bb0bd7747562ff12685ce7209,package_file
RUN_COMMANDS.sh,1598,6a2125a20fee6ac22e58c7462b59db0733ec4f453edabebf46f733cb3031a5ff,package_file
SUBMISSION_GAP_CHECKLIST.md,66503,fb4653ce7a0a47be2d0273d5162916575689573858e0d6f3306f4b5c1bca5247,documentation
data/PUBLIC_DATA_SOURCE_NOTES.md,1209,1e29f240a57987c16787ca3703975e12f385bd28430fb5cffdee4b9bf2de80c0,data
data/processed/opsd_hourly_price_load_renewables_tidy.csv,22900492,b84dc2c77a5b4f3dfe21e4f729d4f45ccf1aece61ade150564bd6b154bf659d9,data
data/processed/uci_appliances_energy_supervised_1h.csv,8039031,2e1c192d5f6ec5b1b9c2c05f8208a08955ad286d48a266fb0ca027031dafa242,data
data/processed/uci_electricity_hourly_selected_clients.csv,15593674,d4e3aa3229592328c9f16601d890c970d6f3bca62e77e65b36650d4f11f97e71,data
data/processed/uci_electricity_hourly_selected_clients_wide.csv,6308342,0f1e0bf5498c194815edc07d835d19342651fb94ce0976bf6cd26fead2492a30,data
figures/paper2_fig10_uci_appliances_second_dataset.png,56108,4dfdc3dc5475bc9565bdb176917742a4264bafa8f1dc3bbc4f947bf5539cf3bc,figure
figures/paper2_fig11_uci_trainable_tdconv_baseline.png,87531,14bb9bc249a720d61b0585722a0c66079b111a5fb3e7b14a3e1d16d8958f310e,figure
figures/paper2_fig12_china_real_load_weather_baselines.png,75895,ea849b341d4904017a08eade77895018c2d7570ad6915a792b8e532e2b359294,figure
figures/paper2_fig13_uci_appliances_multihorizon_robustness.png,53982,a9afaf2aa73b697ae18b9d61c6e65effcd3f388b5184a243ca7389b5c4e7ac44,figure
figures/paper2_fig14_uci_neural_tdconv_residual_check.png,87184,1967a39273e0a7b835f3ecd10ce28d2e5943c4048993e7b57b4d1f944739e97c,figure
figures/paper2_fig15_uci_tdconv_multiseed_stability.png,70583,8431800267c53fffc220e7c90ad3c5a88328030b3b80c1349ce32286f69e424f,figure
figures/paper2_fig16_uci_patch_attention_transfer_baseline.png,82590,8aa80e2f591f8bb68cf636e2ce4e752d744f9b63ec363d486576f9e4be10a709,figure
figures/paper2_fig17_uci_source_mlp_transfer_baseline.png,82545,4297b79c24f72e395493b839f7e07fcbe4ed577420a6477966ea17916d2ccfc4,figure
