client,valid,nonzero,sum,sum_sq,mean,std,coverage,cv
MT_362,35040,35022,1692665700.0,127433948050000.0,48306.66952054795,36101.47449674136,1.0,0.7473393395788768
MT_196,35040,35032,664940000.0,13948681038194.445,18976.59817351598,6161.866770051209,1.0,0.32470871300056303
MT_370,35040,35014,620697837.8378378,11511868978816.654,17713.979390349254,3840.6286873858594,1.0,0.21681343320734983
MT_279,35040,34944,407980020.83333325,5030445568946.526,11643.265434741246,2827.992676047842,1.0,0.2428865589209759
MT_364,35040,35024,128126090.9090909,662970797520.6611,3656.5665213781654,2355.860594353476,1.0,0.6442821648614636
MT_208,35040,35032,221017747.89915967,1511087018572.1348,6307.584129542228,1827.3224314183542,1.0,0.2897024270924741
MT_228,35040,35036,192816789.47368422,1177842157894.7368,5502.762256669071,1825.902387199003,1.0,0.33181560496932266
MT_339,35040,35036,110439515.44715448,458415413238.1519,3151.812655455322,1774.4854195576347,1.0,0.5630047257048298
MT_363,35040,35032,80165485.23206751,254547730990.404,2287.8277748877713,1424.9182633089333,1.0,0.6228258433390303
MT_220,35040,35033,98121860.75949368,318038305880.46783,2800.2814143691116,1111.2582566074955,1.0,0.3968380645264026
MT_357,35040,35032,62765015.15151515,150703244260.7897,1791.23901688114,1045.172537862088,1.0,0.583491386694957
MT_224,35040,35040,115118474.05797102,411925857613.2535,3285.344579279995,981.0267037223293,1.0,0.2986069436702216
MT_351,35040,35035,54327808.88888889,112582966261.7284,1550.451166920345,899.5045675023205,1.0,0.5801566580706975
MT_345,35040,34995,68169801.93236715,155076257952.3443,1945.485214964816,800.4985066344287,1.0,0.4114647083806832
MT_099,35040,35036,41217281.25,70374683990.47852,1176.2922731164383,790.4202992532711,1.0,0.6719591017623129
MT_241,35040,35036,92535691.35802469,265773056698.67395,2640.8587716331244,781.4920897348044,1.0,0.2959234693385457
MT_216,35040,35032,72232940.19933555,167468000187.6359,2061.442357286973,727.8794079963255,1.0,0.35309229259957303
MT_194,35040,35031,81340292.37288135,206857034454.898,2321.355375938395,717.4803756245528,1.0,0.3090782148487348
MT_276,35040,35040,64057168.01980199,132709957780.796,1828.1155256792806,667.3761874407382,1.0,0.3650623705483593
MT_103,35040,35029,38608679.66101695,55925273866.70498,1101.8458807367851,618.051355006957,1.0,0.5609235972218518
MT_157,35040,35021,92724345.82132566,258113979536.41342,2646.242746042399,603.0557579424327,1.0,0.22789132208083918
MT_323,35040,35040,58107654.268292695,108981531290.76447,1658.3234665608645,600.1475467347977,1.0,0.36190017136971564
MT_341,35040,35017,34697857.682619646,43976516625.00237,990.2356644583232,523.9071836179805,1.0,0.5290732321831362
MT_191,35040,35034,67609546.76258992,139676506133.22287,1929.4961975624976,513.0824452172444,1.0,0.26591524039560865
MT_102,35040,35036,32240726.552179657,37102185607.16448,920.1120591375472,460.708351374949,1.0,0.5007089590878603
MT_358,35040,35034,25598301.4354067,26099578438.62956,730.545132289004,459.5223811801974,1.0,0.6290129943654325
MT_064,35040,34939,51895692.30769231,83375047994.74031,1481.0414471373376,431.21505568123865,1.0,0.2911566428574445
MT_328,35040,35035,41313866.66666666,55113647187.92865,1179.0487062404868,427.46628188964166,1.0,0.36255184338623303
MT_098,35040,35036,23650257.001647446,22204828326.308388,674.9502568963312,422.07425098711445,1.0,0.6253412702262928
MT_350,35040,35023,19929975.124378104,17295359644.563244,568.7778288920691,412.4144351934848,1.0,0.7250888031216566
MT_355,35040,35021,22693543.378995433,19860495087.443733,647.646785930235,383.86559766903156,1.0,0.5927082570442678
MT_166,35040,35040,43827166.043956056,59668123327.91936,1250.7752866425815,372.0517889351988,1.0,0.2974569396345256
MT_163,35040,35028,84370064.51612903,207883497557.81607,2407.8214759169246,367.6245571852327,1.0,0.15267932480136936
MT_101,35040,35036,21474691.637630668,17862663195.498314,612.8622042702816,366.3099081157855,1.0,0.5977035385171791
MT_218,35040,35029,43183782.60869565,57858253969.21823,1232.413887234465,363.8209260440665,1.0,0.2952100181705029
MT_043,35040,35036,39845909.09090909,49611581611.57025,1137.1549398090494,350.3395285407568,1.0,0.30808425156169633
MT_314,35040,35031,37047876.404494405,43273217523.04008,1057.302408804064,342.1713185047936,1.0,0.3236267274675279
MT_104,35040,35036,17622867.326732673,12931615437.702185,502.9357113793571,340.75201526235844,1.0,0.6775259890132044
MT_222,35040,35034,31975290.666666668,32738366097.77778,912.5368340943684,318.7373946427448,1.0,0.3492871550320161
MT_360,35040,35025,17333310.307017542,11509022861.601646,494.67209780301204,289.4058650666442,1.0,0.5850458644261176
MT_207,35040,35029,30220474.82993197,28853207061.872368,862.4564734569626,282.14779440755444,1.0,0.32714438709773785
MT_213,35040,35001,37533856.8329718,42888716870.3328,1071.1717132697431,276.74249356371223,1.0,0.2583549305264587
MT_161,35040,35035,52625620.370370366,81661794191.05318,1501.8727274649077,273.69893041162646,1.0,0.18223843166365883
MT_049,35040,35035,32632413.043478258,32985587901.70132,931.2903265832837,272.15796740811726,1.0,0.2922375113747932
MT_204,35040,35036,29599819.402985074,27452423054.13232,844.74370442309,264.328639918184,1.0,0.312909866666251
MT_235,35040,35040,26151307.99019608,21926663390.9482,746.3272828252306,262.2184027083085,1.0,0.3513450583176829
MT_229,35040,34927,33075063.36939722,33617673074.396393,943.9230413640759,261.5716398049174,1.0,0.27711119269524
MT_178,35040,15935,7240619.825783972,3706659646.683826,206.63869365821836,251.1690992065804,1.0,1.2154988727426608
MT_307,35040,35040,26123927.692307696,21611015957.61211,745.5458816297859,246.8112950540213,1.0,0.33104776129201374
MT_200,35040,35034,27326299.559471365,23335535048.22527,779.8601472451874,240.3919007275027,1.0,0.308250013257728
MT_298,35040,35040,30692237.705882356,28865539404.24568,875.9200258528069,237.81073840250292,1.0,0.27149823201149825
MT_269,35040,35040,25423193.942857146,20173626056.56817,725.5477723418136,222.06569888237348,1.0,0.30606626792557484
MT_231,35040,35040,21424369.360730592,14721744492.981796,611.4260662308959,215.17573482389645,1.0,0.35192437272152305
MT_317,35040,35040,17251111.842900302,9817073484.157682,492.3262512243237,194.3799447427811,1.0,0.39481937893702473
MT_186,35040,35036,19885865.497076023,12606840019.151192,567.5189924964618,194.18423315358768,1.0,0.3421634090154231
MT_246,35040,34944,20547963.56846473,13366605741.598803,586.4144854013907,193.8715626698226,1.0,0.3306050029393814
MT_147,35040,35036,91866917.07317074,242150962903.0339,2621.772747521996,192.3790858055418,1.0,0.07337748322671044
MT_219,35040,35035,18806849.46236559,11356543401.549313,536.725155889429,189.8141230197514,1.0,0.35365236925629606
MT_353,35040,35033,17485870.42976267,9923422767.756672,499.02598258455106,184.86954489212067,1.0,0.3704607602486867
MT_361,35040,35038,10003417.55888651,4024958951.0092974,285.4856609271264,182.66482862144485,1.0,0.6398388907808306
MT_203,35040,34943,18483810.752688173,10904816392.64655,527.5060146315118,181.51820387401986,1.0,0.34410641554640664
MT_255,35040,35040,21064849.811320756,13749476247.094337,601.1658051176015,176.0519463409862,1.0,0.2928508987741685
MT_210,35040,35033,23549436.69250646,16860936255.166288,672.0729649687917,171.78438551688063,1.0,0.25560377291007025
MT_294,35040,35040,20827900.506756756,13406347247.967268,594.4035532750216,171.1329480293261,1.0,0.28790700709379075
MT_199,35040,35030,15025558.486238532,7363725026.434012,428.8116006346613,162.09050219950944,1.0,0.37799934040872
MT_209,35040,35032,20245289.0625,12594691223.144531,577.7765143407535,160.03926185642382,1.0,0.2769916358386938
MT_327,35040,35040,17617677.974276528,9742836406.748276,502.78761342113376,158.916080776819,1.0,0.3160699996077892
MT_247,35040,35035,15245929.539295392,7503717731.215253,435.10072886116984,157.59206845163536,1.0,0.3621967466340862
MT_290,35040,35040,19592447.73519164,11804645574.155327,559.1451979221358,155.71740328508548,1.0,0.27849189059255774
MT_128,35040,35036,9835822.56297919,3576551464.8457413,280.7026987151595,152.56864654963272,1.0,0.5435239748245184
MT_342,35040,35034,8692692.141312184,2959046397.982294,248.07911362192306,151.34423756322738,1.0,0.6100644078964208
MT_086,35040,35035,15789547.368421052,7916359778.393352,450.6149363133862,151.22943338193937,1.0,0.3356067923961687
MT_273,35040,35034,16263111.111111108,8347294519.744971,464.12988330796543,151.01648201293918,1.0,0.325375476658836
MT_105,35040,35036,7436621.577217963,2313887245.3870044,212.23235094800123,144.89176390245626,1.0,0.6827034768980909
MT_310,35040,35040,19014963.49775785,11050877472.97955,542.6644833835003,144.55026150756578,1.0,0.26637133244154526
MT_162,35040,35025,9701136.79745493,3403597251.163623,276.858926868006,143.123526927524,1.0,0.5169547124473214
MT_214,35040,35031,13412688.391038697,5835793088.215164,382.7822029406021,141.50958624575364,1.0,0.36968695294256476
MT_367,35040,35020,19995641.791044775,12093521672.739437,570.6518775983099,139.61282820370903,1.0,0.24465498789085652
MT_369,35040,35036,28409507.331378296,23670372881.210167,810.7736110553167,134.79989025430058,1.0,0.1662608259768627
MT_205,35040,34938,18230684.3220339,10115923383.187304,520.282086816036,134.17714977295478,1.0,0.2578930798753366
MT_124,35040,35036,10189478.468899522,3580944873.056936,290.7956184046667,132.79430298913041,1.0,0.4566585415476787
MT_195,35040,35034,14483883.248730967,6601796069.640204,413.3528324409522,132.46644394940898,1.0,0.32046821396423336
MT_192,35040,34999,15900175.242356451,7825720406.877457,453.7721244964741,132.01562790309714,1.0,0.2909293470805145
MT_346,35040,34934,9485263.69168357,3149535128.7189,270.69816471699687,128.8680370052902,1.0,0.4760580373347419
MT_114,35040,35018,10737480.132450331,3854959990.7898774,306.4349352868245,126.94121389269678,1.0,0.4142517685650927
MT_312,35040,35040,12678661.354166666,5149878457.549372,361.833942755898,126.68098922165949,1.0,0.3501080862032934
MT_226,35040,35024,16970624.515128005,8780267867.213236,484.3214758883563,126.53689506595242,1.0,0.26126633107453023
MT_299,35040,35040,16172429.25925926,7994922970.602773,461.5419309149332,123.06538149203936,1.0,0.26663965557383246
MT_343,35040,35035,5098834.355828221,1269163251.910121,145.51467910468668,122.66344202543502,1.0,0.842962667272819
