dataset,target_client,model,protocol,mae,rmse,smape,n
UCI Electricity Load Diagrams 2011-2014,MT_355,Seasonal-24h,direct seasonal,40.49633407230937,89.34583675843108,7.754802332313123,2208
UCI Electricity Load Diagrams 2011-2014,MT_355,Seasonal-168h,direct seasonal,55.78665789821985,98.590013499408,8.938240408208598,2208
UCI Electricity Load Diagrams 2011-2014,MT_355,Pooled-source-linear,source-only transfer,44.129924820409684,70.3746325350673,8.156826909980976,2208
UCI Electricity Load Diagrams 2011-2014,MT_355,Target-7d-linear,few-shot target only,48.463153705040455,83.75877684743581,8.220328979373978,2208
UCI Electricity Load Diagrams 2011-2014,MT_355,Pooled+target-7d-linear,few-shot transfer,44.12209038955362,70.36836230220425,8.155150311316413,2208
UCI Electricity Load Diagrams 2011-2014,MT_355,Target-28d-linear,few-shot target only,43.41352910110813,75.52976275897879,7.5674338165659245,2208
UCI Electricity Load Diagrams 2011-2014,MT_355,Pooled+target-28d-linear,few-shot transfer,44.09170150232079,70.34450696665836,8.148742270034855,2208
UCI Electricity Load Diagrams 2011-2014,MT_166,Seasonal-24h,direct seasonal,79.78956392339542,132.69342684897532,7.103375753907525,2208
UCI Electricity Load Diagrams 2011-2014,MT_166,Seasonal-168h,direct seasonal,82.84292134495938,124.01946456154734,7.371411188909607,2208
UCI Electricity Load Diagrams 2011-2014,MT_166,Pooled-source-linear,source-only transfer,64.85541721141264,95.8069552878015,5.7690365621177255,2208
UCI Electricity Load Diagrams 2011-2014,MT_166,Target-7d-linear,few-shot target only,65.77453175887376,96.66379076750641,5.918078149217887,2208
UCI Electricity Load Diagrams 2011-2014,MT_166,Pooled+target-7d-linear,few-shot transfer,64.84845461830884,95.80013338471174,5.768428708353158,2208
UCI Electricity Load Diagrams 2011-2014,MT_166,Target-28d-linear,few-shot target only,62.76025119386153,95.76977904785345,5.642101435484452,2208
UCI Electricity Load Diagrams 2011-2014,MT_166,Pooled+target-28d-linear,few-shot transfer,64.83386121673627,95.7915467474282,5.767342289007256,2208
