dataset,target_client,model,protocol,adapt_days,residual_shrinkage,mae,rmse,smape,n
UCI Electricity Load Diagrams 2011-2014,MT_355,Neural-TDConv-residual-source-head,source-pooled TDConv ridge plus neural residual head,0,0.25,32.42767316056089,54.04187123541577,6.553075834678289,2208
UCI Electricity Load Diagrams 2011-2014,MT_355,Neural-TDConv-residual+adapter-7d,source-pooled neural residual representation with target adapter,7,0.25,32.30217832699339,54.151059461100864,6.340310651471681,2208
UCI Electricity Load Diagrams 2011-2014,MT_355,Neural-TDConv-residual+adapter-28d,source-pooled neural residual representation with target adapter,28,0.25,31.688562157432568,53.515919165255866,6.358969932218737,2208
UCI Electricity Load Diagrams 2011-2014,MT_166,Neural-TDConv-residual-source-head,source-pooled TDConv ridge plus neural residual head,0,0.25,55.823288154537366,77.82595798455797,4.999841198382418,2208
UCI Electricity Load Diagrams 2011-2014,MT_166,Neural-TDConv-residual+adapter-7d,source-pooled neural residual representation with target adapter,7,0.25,56.72599943035659,78.56390400276932,5.156033026522897,2208
UCI Electricity Load Diagrams 2011-2014,MT_166,Neural-TDConv-residual+adapter-28d,source-pooled neural residual representation with target adapter,28,0.25,57.30354101879051,79.0619253766488,5.228914091495299,2208
UCI Electricity Load Diagrams 2011-2014,MT_163,Neural-TDConv-residual-source-head,source-pooled TDConv ridge plus neural residual head,0,0.25,90.51763693490906,131.74852579469996,3.921442037944245,2208
UCI Electricity Load Diagrams 2011-2014,MT_163,Neural-TDConv-residual+adapter-7d,source-pooled neural residual representation with target adapter,7,0.25,92.14780586025977,133.43061829405715,4.004005991464832,2208
UCI Electricity Load Diagrams 2011-2014,MT_163,Neural-TDConv-residual+adapter-28d,source-pooled neural residual representation with target adapter,28,0.25,89.7927680064097,130.94597431829456,3.893684750013375,2208
UCI Electricity Load Diagrams 2011-2014,MT_101,Neural-TDConv-residual-source-head,source-pooled TDConv ridge plus neural residual head,0,0.25,26.21859671804898,43.91698785555486,5.6287253244595075,2208
UCI Electricity Load Diagrams 2011-2014,MT_101,Neural-TDConv-residual+adapter-7d,source-pooled neural residual representation with target adapter,7,0.25,25.48263673136318,43.413382998512596,5.48609966686806,2208
UCI Electricity Load Diagrams 2011-2014,MT_101,Neural-TDConv-residual+adapter-28d,source-pooled neural residual representation with target adapter,28,0.25,26.05619406898723,43.6793793149177,5.726711419086952,2208
UCI Electricity Load Diagrams 2011-2014,MT_218,Neural-TDConv-residual-source-head,source-pooled TDConv ridge plus neural residual head,0,0.25,41.853500849432166,63.38523967991598,3.948635658297129,2208
UCI Electricity Load Diagrams 2011-2014,MT_218,Neural-TDConv-residual+adapter-7d,source-pooled neural residual representation with target adapter,7,0.25,41.62775937236898,63.27450272457234,3.938143072165343,2208
UCI Electricity Load Diagrams 2011-2014,MT_218,Neural-TDConv-residual+adapter-28d,source-pooled neural residual representation with target adapter,28,0.25,41.666048002577085,62.881770532788885,3.9402242671404424,2208
UCI Electricity Load Diagrams 2011-2014,MT_043,Neural-TDConv-residual-source-head,source-pooled TDConv ridge plus neural residual head,0,0.25,73.96486329553855,101.41967543399197,6.420255462180218,2208
UCI Electricity Load Diagrams 2011-2014,MT_043,Neural-TDConv-residual+adapter-7d,source-pooled neural residual representation with target adapter,7,0.25,73.8972315251111,101.49776679997933,6.4032866895586595,2208
UCI Electricity Load Diagrams 2011-2014,MT_043,Neural-TDConv-residual+adapter-28d,source-pooled neural residual representation with target adapter,28,0.25,74.12293925572553,102.07815055099995,6.399355973049051,2208
UCI Electricity Load Diagrams 2011-2014,MT_314,Neural-TDConv-residual-source-head,source-pooled TDConv ridge plus neural residual head,0,0.25,36.042720323484374,55.34011454155909,3.8747786061546203,2208
UCI Electricity Load Diagrams 2011-2014,MT_314,Neural-TDConv-residual+adapter-7d,source-pooled neural residual representation with target adapter,7,0.25,42.982244648028164,60.72656271203712,4.7918038128514295,2208
UCI Electricity Load Diagrams 2011-2014,MT_314,Neural-TDConv-residual+adapter-28d,source-pooled neural residual representation with target adapter,28,0.25,36.888403605162075,55.77419087391879,4.020662363279539,2208
UCI Electricity Load Diagrams 2011-2014,MT_104,Neural-TDConv-residual-source-head,source-pooled TDConv ridge plus neural residual head,0,0.25,21.007637412340006,34.224851313542906,5.763323938627844,2208
UCI Electricity Load Diagrams 2011-2014,MT_104,Neural-TDConv-residual+adapter-7d,source-pooled neural residual representation with target adapter,7,0.25,20.19149715434758,33.90149171750365,5.318027797775531,2208
UCI Electricity Load Diagrams 2011-2014,MT_104,Neural-TDConv-residual+adapter-28d,source-pooled neural residual representation with target adapter,28,0.25,20.226313833149074,33.30402674845513,5.398445098051974,2208
UCI Electricity Load Diagrams 2011-2014,MT_222,Neural-TDConv-residual-source-head,source-pooled TDConv ridge plus neural residual head,0,0.25,32.465893653117426,49.977969219267116,4.357988163612347,2208
UCI Electricity Load Diagrams 2011-2014,MT_222,Neural-TDConv-residual+adapter-7d,source-pooled neural residual representation with target adapter,7,0.25,34.81919920976136,52.74253295194573,4.606013069795861,2208
UCI Electricity Load Diagrams 2011-2014,MT_222,Neural-TDConv-residual+adapter-28d,source-pooled neural residual representation with target adapter,28,0.25,33.01118165388642,50.632962348713704,4.422704765771203,2208
UCI Electricity Load Diagrams 2011-2014,MT_360,Neural-TDConv-residual-source-head,source-pooled TDConv ridge plus neural residual head,0,0.25,29.662766240419295,44.03967887124934,7.114452222910858,2208
UCI Electricity Load Diagrams 2011-2014,MT_360,Neural-TDConv-residual+adapter-7d,source-pooled neural residual representation with target adapter,7,0.25,29.611182878251043,43.96089726707823,7.040635650951755,2208
UCI Electricity Load Diagrams 2011-2014,MT_360,Neural-TDConv-residual+adapter-28d,source-pooled neural residual representation with target adapter,28,0.25,29.694181680686974,43.94405953326948,7.0929422080101405,2208
