dataset,target_client,model,protocol,adapt_days,mae,rmse,smape,n
UCI Electricity Load Diagrams 2011-2014,MT_355,PatchAttention-ridge-source-head,CPU-only patch-attention source representation,0,30.072439126602905,52.44499846509881,5.9716364855728505,2208
UCI Electricity Load Diagrams 2011-2014,MT_355,PatchAttention-ridge+adapter-7d,CPU-only patch-attention source representation with target adapter,7,30.23525999363512,52.58678339702226,5.953016908649579,2208
UCI Electricity Load Diagrams 2011-2014,MT_355,PatchAttention-ridge+target-head-7d,target-only CPU-only patch-attention ridge,7,394.94021819043013,489.2559010052405,62.019110321836,2208
UCI Electricity Load Diagrams 2011-2014,MT_355,PatchAttention-ridge+adapter-28d,CPU-only patch-attention source representation with target adapter,28,29.459615037727964,51.79550999601179,5.995010147717976,2208
UCI Electricity Load Diagrams 2011-2014,MT_355,PatchAttention-ridge+target-head-28d,target-only CPU-only patch-attention ridge,28,58.281589461798745,91.87957003955803,13.271641499230629,2208
UCI Electricity Load Diagrams 2011-2014,MT_166,PatchAttention-ridge-source-head,CPU-only patch-attention source representation,0,54.739661764865005,76.69578408927234,4.854372136696183,2208
UCI Electricity Load Diagrams 2011-2014,MT_166,PatchAttention-ridge+adapter-7d,CPU-only patch-attention source representation with target adapter,7,54.85223103677049,76.74098681084058,4.921463501244565,2208
UCI Electricity Load Diagrams 2011-2014,MT_166,PatchAttention-ridge+target-head-7d,target-only CPU-only patch-attention ridge,7,484.42869051111916,605.2939452082129,65.8154783484852,2208
UCI Electricity Load Diagrams 2011-2014,MT_166,PatchAttention-ridge+adapter-28d,CPU-only patch-attention source representation with target adapter,28,55.37382076235171,77.05884416251246,4.972228924726322,2208
UCI Electricity Load Diagrams 2011-2014,MT_166,PatchAttention-ridge+target-head-28d,target-only CPU-only patch-attention ridge,28,155.63993285114196,197.19058603032173,16.712925700414182,2208
UCI Electricity Load Diagrams 2011-2014,MT_163,PatchAttention-ridge-source-head,CPU-only patch-attention source representation,0,100.06198796872944,142.84754255941226,4.322366517305174,2208
UCI Electricity Load Diagrams 2011-2014,MT_163,PatchAttention-ridge+adapter-7d,CPU-only patch-attention source representation with target adapter,7,98.28048203899783,141.80236034010622,4.2693871096937,2208
UCI Electricity Load Diagrams 2011-2014,MT_163,PatchAttention-ridge+target-head-7d,target-only CPU-only patch-attention ridge,7,175.9482616290544,235.2617764945111,7.59130515941661,2208
UCI Electricity Load Diagrams 2011-2014,MT_163,PatchAttention-ridge+adapter-28d,CPU-only patch-attention source representation with target adapter,28,97.04751755872542,140.88894470842487,4.208039426569857,2208
UCI Electricity Load Diagrams 2011-2014,MT_163,PatchAttention-ridge+target-head-28d,target-only CPU-only patch-attention ridge,28,99.93944747578169,139.24506032069615,4.3122355009319735,2208
