dataset,target_client,model,protocol,adapt_days,mae,rmse,smape,n
UCI Electricity Load Diagrams 2011-2014,MT_355,RC-lag-source-head,random-convolution source representation,0,33.225372151237345,54.89414969782901,6.741941495974305,2208
UCI Electricity Load Diagrams 2011-2014,MT_355,Seasonal-24h,zero-label seasonal,0,40.49633342977883,89.34583567234019,7.7548024674105305,2208
UCI Electricity Load Diagrams 2011-2014,MT_355,Seasonal-168h,zero-label seasonal,0,55.78665714764941,98.59001250027983,8.938240384913083,2208
UCI Electricity Load Diagrams 2011-2014,MT_355,RC-lag+adapter-1d,random-convolution representation with target adapter,1,39.653399140138745,59.37190354569896,7.826472322452785,2208
UCI Electricity Load Diagrams 2011-2014,MT_355,Target-linear-1d,target-only lag-calendar ridge,1,70.44736895421374,103.25555800289672,11.432489767739018,2208
UCI Electricity Load Diagrams 2011-2014,MT_355,RC-lag+adapter-3d,random-convolution representation with target adapter,3,38.39325430207376,59.25505862583478,7.876453668682373,2208
UCI Electricity Load Diagrams 2011-2014,MT_355,Target-linear-3d,target-only lag-calendar ridge,3,76.44928571889086,112.0133295467342,13.68347576323366,2208
UCI Electricity Load Diagrams 2011-2014,MT_355,RC-lag+adapter-7d,random-convolution representation with target adapter,7,33.45917366643772,55.29241824187244,6.868360501358397,2208
UCI Electricity Load Diagrams 2011-2014,MT_355,Target-linear-7d,target-only lag-calendar ridge,7,48.44076199820753,83.71770261224628,8.216373043071275,2208
UCI Electricity Load Diagrams 2011-2014,MT_355,RC-lag+adapter-28d,random-convolution representation with target adapter,28,33.334883164528144,54.721843278579236,6.894222343149521,2208
UCI Electricity Load Diagrams 2011-2014,MT_355,Target-linear-28d,target-only lag-calendar ridge,28,43.41180912185155,75.52691095567543,7.567259593197566,2208
UCI Electricity Load Diagrams 2011-2014,MT_166,RC-lag-source-head,random-convolution source representation,0,57.94759612034748,80.27554687402446,5.179456857275977,2208
UCI Electricity Load Diagrams 2011-2014,MT_166,Seasonal-24h,zero-label seasonal,0,79.78956449204597,132.69342856371478,7.103375754878635,2208
UCI Electricity Load Diagrams 2011-2014,MT_166,Seasonal-168h,zero-label seasonal,0,82.84292310908221,124.01946880355213,7.371411256285494,2208
UCI Electricity Load Diagrams 2011-2014,MT_166,RC-lag+adapter-1d,random-convolution representation with target adapter,1,65.18761513866062,88.84681808582064,5.891483971764113,2208
UCI Electricity Load Diagrams 2011-2014,MT_166,Target-linear-1d,target-only lag-calendar ridge,1,75.79341953340017,103.87874362415268,6.82850201082557,2208
UCI Electricity Load Diagrams 2011-2014,MT_166,RC-lag+adapter-3d,random-convolution representation with target adapter,3,62.49212636753377,85.29517749934632,5.807420459961155,2208
UCI Electricity Load Diagrams 2011-2014,MT_166,Target-linear-3d,target-only lag-calendar ridge,3,67.85181875136387,96.63397795353943,6.087846095750259,2208
UCI Electricity Load Diagrams 2011-2014,MT_166,RC-lag+adapter-7d,random-convolution representation with target adapter,7,59.16861473394271,81.64287636166502,5.374514694121218,2208
UCI Electricity Load Diagrams 2011-2014,MT_166,Target-linear-7d,target-only lag-calendar ridge,7,65.75883277133313,96.652095190704,5.916479322934157,2208
UCI Electricity Load Diagrams 2011-2014,MT_166,RC-lag+adapter-28d,random-convolution representation with target adapter,28,58.623933322044664,80.83013541160562,5.317030645292224,2208
UCI Electricity Load Diagrams 2011-2014,MT_166,Target-linear-28d,target-only lag-calendar ridge,28,62.76070470018607,95.76917439851739,5.642212302778998,2208
UCI Electricity Load Diagrams 2011-2014,MT_163,RC-lag-source-head,random-convolution source representation,0,93.41519554413335,135.5844303159253,4.0439513379389895,2208
UCI Electricity Load Diagrams 2011-2014,MT_163,Seasonal-24h,zero-label seasonal,0,212.05905361451966,304.94730911164237,9.303781975793655,2208
UCI Electricity Load Diagrams 2011-2014,MT_163,Seasonal-168h,zero-label seasonal,0,136.08531940847203,203.57060705558186,5.840348326114257,2208
UCI Electricity Load Diagrams 2011-2014,MT_163,RC-lag+adapter-1d,random-convolution representation with target adapter,1,104.70535802900544,149.9558983401695,4.580008710723356,2208
UCI Electricity Load Diagrams 2011-2014,MT_163,Target-linear-1d,target-only lag-calendar ridge,1,130.11872435561477,183.12954446233826,5.658956589178482,2208
UCI Electricity Load Diagrams 2011-2014,MT_163,RC-lag+adapter-3d,random-convolution representation with target adapter,3,195.54532464943688,246.7744918691894,8.623140966572167,2208
