dataset,target_client,model,protocol,adapt_days,source_validation_rmse_normalized,mae,rmse,smape,n
UCI Electricity Load Diagrams 2011-2014,MT_355,SourceMLP-source-head,source-trained one-hidden-layer neural encoder,0,0.09172190725803375,54.63407710367355,73.55225129265703,11.914302783279041,2208
UCI Electricity Load Diagrams 2011-2014,MT_355,SourceMLP+adapter-7d,source-trained neural encoder with target adapter,7,0.09172190725803375,52.93697757395343,73.75181257747,11.149969551435987,2208
UCI Electricity Load Diagrams 2011-2014,MT_355,SourceMLP-hidden-target-head-7d,frozen source-trained hidden representation with target ridge head,7,0.09172190725803375,123.38662332371888,159.51779515866195,22.535997187614097,2208
UCI Electricity Load Diagrams 2011-2014,MT_355,SourceMLP-target-ridge-features-7d,target-only ridge on SourceMLP input features,7,0.09172190725803375,415.8850724806691,487.24895672107493,66.01916448866444,2208
UCI Electricity Load Diagrams 2011-2014,MT_355,SourceMLP+adapter-28d,source-trained neural encoder with target adapter,28,0.09172190725803375,54.9992031421728,75.1912500340828,11.61981912582477,2208
UCI Electricity Load Diagrams 2011-2014,MT_355,SourceMLP-hidden-target-head-28d,frozen source-trained hidden representation with target ridge head,28,0.09172190725803375,49.52093118458667,69.4243973985348,10.835943678053583,2208
UCI Electricity Load Diagrams 2011-2014,MT_355,SourceMLP-target-ridge-features-28d,target-only ridge on SourceMLP input features,28,0.09172190725803375,49.67965989659992,69.11055381725016,11.051712119528228,2208
UCI Electricity Load Diagrams 2011-2014,MT_166,SourceMLP-source-head,source-trained one-hidden-layer neural encoder,0,0.09172190725803375,72.79448939060819,94.84048710835114,6.579973026943646,2208
UCI Electricity Load Diagrams 2011-2014,MT_166,SourceMLP+adapter-7d,source-trained neural encoder with target adapter,7,0.09172190725803375,75.60380904436688,98.22579121035149,7.071800490400644,2208
UCI Electricity Load Diagrams 2011-2014,MT_166,SourceMLP-hidden-target-head-7d,frozen source-trained hidden representation with target ridge head,7,0.09172190725803375,178.2433537056533,226.76359327818997,17.795985232012043,2208
UCI Electricity Load Diagrams 2011-2014,MT_166,SourceMLP-target-ridge-features-7d,target-only ridge on SourceMLP input features,7,0.09172190725803375,259.85543742301803,323.20379261070843,30.66780658477228,2208
UCI Electricity Load Diagrams 2011-2014,MT_166,SourceMLP+adapter-28d,source-trained neural encoder with target adapter,28,0.09172190725803375,76.74091003955269,99.71053964785708,7.217023114964745,2208
UCI Electricity Load Diagrams 2011-2014,MT_166,SourceMLP-hidden-target-head-28d,frozen source-trained hidden representation with target ridge head,28,0.09172190725803375,73.9566656268199,100.0382232962729,6.741631568169222,2208
UCI Electricity Load Diagrams 2011-2014,MT_166,SourceMLP-target-ridge-features-28d,target-only ridge on SourceMLP input features,28,0.09172190725803375,114.17140102440464,145.95420470614064,11.29475290340095,2208
UCI Electricity Load Diagrams 2011-2014,MT_163,SourceMLP-source-head,source-trained one-hidden-layer neural encoder,0,0.09172190725803375,149.05453120798305,194.97818842615388,6.343855673342476,2208
UCI Electricity Load Diagrams 2011-2014,MT_163,SourceMLP+adapter-7d,source-trained neural encoder with target adapter,7,0.09172190725803375,113.7051240374911,158.46759959587408,4.9418257989061045,2208
UCI Electricity Load Diagrams 2011-2014,MT_163,SourceMLP-hidden-target-head-7d,frozen source-trained hidden representation with target ridge head,7,0.09172190725803375,122.2660561593118,169.398149461364,5.32192430923018,2208
