epoch,train_rmse_normalized,validation_rmse_normalized,selected_epoch,source_train_windows,source_validation_windows
1,0.2608071565628052,0.2603852450847626,32,61600,8400
2,0.19968433678150177,0.2005084902048111,32,61600,8400
3,0.17251013219356537,0.1736244559288025,32,61600,8400
4,0.15643279254436493,0.15836234390735626,32,61600,8400
5,0.14446575939655304,0.14698119461536407,32,61600,8400
6,0.13624314963817596,0.1387506127357483,32,61600,8400
7,0.132383331656456,0.13510067760944366,32,61600,8400
8,0.12354092299938202,0.12601375579833984,32,61600,8400
9,0.11801683902740479,0.12130293250083923,32,61600,8400
10,0.11341480165719986,0.11683999747037888,32,61600,8400
11,0.11122653633356094,0.11483880877494812,32,61600,8400
12,0.10895327478647232,0.1130325123667717,32,61600,8400
13,0.10560470819473267,0.10945162922143936,32,61600,8400
14,0.1030193641781807,0.10677748173475266,32,61600,8400
15,0.1026485338807106,0.10637658089399338,32,61600,8400
16,0.10087674856185913,0.10511720180511475,32,61600,8400
17,0.10260952264070511,0.10538995265960693,32,61600,8400
18,0.09652302414178848,0.1004219651222229,32,61600,8400
19,0.09942004084587097,0.10256927460432053,32,61600,8400
20,0.09450738877058029,0.09837057441473007,32,61600,8400
21,0.09477123618125916,0.09854484349489212,32,61600,8400
22,0.09470366686582565,0.09953861683607101,32,61600,8400
23,0.09199737012386322,0.09619985520839691,32,61600,8400
24,0.09347675740718842,0.09870166331529617,32,61600,8400
25,0.09080622345209122,0.0956961140036583,32,61600,8400
26,0.09110195189714432,0.09578406810760498,32,61600,8400
27,0.08938261866569519,0.09357809275388718,32,61600,8400
28,0.09396630525588989,0.09787428379058838,32,61600,8400
29,0.09378471225500107,0.09728288650512695,32,61600,8400
30,0.08883251994848251,0.09332281351089478,32,61600,8400
31,0.08868909627199173,0.09364790469408035,32,61600,8400
32,0.08708424121141434,0.09172190725803375,32,61600,8400
