comparison,target_client,baseline_model,candidate_model,baseline_rmse,candidate_rmse,rmse_delta,rmse_improvement_pct,baseline_mae,candidate_mae,mae_delta,mae_improvement_pct
zero-label SSL source head vs 28d target ridge,MT_043,Target-linear-28d,SSL-MR-lag-source-head,106.46558695531029,104.86042640272376,1.6051605525865256,1.507680179568543,77.04960372444836,76.47485278805594,0.5747509363924195,0.7459492438765745
zero-label SSL source head vs 28d target ridge,MT_101,Target-linear-28d,SSL-MR-lag-source-head,59.2895525539652,54.16865262026867,5.120899933696535,8.637103356507042,37.04100063443865,38.26633182879901,-1.2253311943603578,-3.30804020780452
zero-label SSL source head vs 28d target ridge,MT_104,Target-linear-28d,SSL-MR-lag-source-head,70.52424669000546,48.05607248440076,22.468174205604697,31.858793620816993,32.212690637154886,30.062772721199824,2.1499179159550614,6.674133310290122
zero-label SSL source head vs 28d target ridge,MT_163,Target-linear-28d,SSL-MR-lag-source-head,129.10735752940928,150.05275062400625,-20.945393094596966,-16.22323738585218,89.54312390545385,105.07595445999854,-15.532830554544688,-17.346759725454053
zero-label SSL source head vs 28d target ridge,MT_166,Target-linear-28d,SSL-MR-lag-source-head,95.7691743985174,86.08209090268468,9.687083495832724,10.115032897247874,62.76070470018607,61.09905673096836,1.6616479692177109,2.6475929120865724
zero-label SSL source head vs 28d target ridge,MT_218,Target-linear-28d,SSL-MR-lag-source-head,83.9023925745426,74.2244033284767,9.677989246065906,11.5348191500827,58.40890594068683,50.48506233722696,7.923843603459872,13.566156523298673
zero-label SSL source head vs 28d target ridge,MT_222,Target-linear-28d,SSL-MR-lag-source-head,72.72628096076372,58.57095509285282,14.155325867910896,19.463838492645845,44.995046513620714,37.99305919070589,7.001987322914822,15.56168481967278
zero-label SSL source head vs 28d target ridge,MT_314,Target-linear-28d,SSL-MR-lag-source-head,77.6254606780321,63.43376763433777,14.191693043694329,18.282265792350472,50.468754282803246,43.61554028579389,6.853213997009355,13.579122556913445
zero-label SSL source head vs 28d target ridge,MT_355,Target-linear-28d,SSL-MR-lag-source-head,75.52691095567543,68.36283015300444,7.164080802670995,9.485467778333193,43.41180912185155,45.96669530071763,-2.5548861788660844,-5.885233144038842
zero-label SSL source head vs 28d target ridge,MT_360,Target-linear-28d,SSL-MR-lag-source-head,56.879375097045454,49.07709204712232,7.802283049923133,13.717244671923998,38.43228056563567,34.728040704127295,3.704239861508377,9.638355588037971
28d SSL adapter vs 28d target ridge,MT_043,Target-linear-28d,SSL-MR-lag+adapter-28d,106.46558695531029,104.92662819232984,1.5389587629804424,1.4454987822745313,77.04960372444836,76.33033614389986,0.7192675805485038,0.9335123683709164
28d SSL adapter vs 28d target ridge,MT_101,Target-linear-28d,SSL-MR-lag+adapter-28d,59.2895525539652,53.67934540688913,5.610207147076075,9.462387394422784,37.04100063443865,37.43123819337286,-0.39023755893420997,-1.05352866350859
