dataset,target_client,model,protocol,adapt_days,mae,rmse,smape,n
UCI Electricity Load Diagrams 2011-2014,MT_355,Seasonal-24h,zero-label seasonal,0,40.49633342977883,89.34583567234019,7.7548024674105305,2208
UCI Electricity Load Diagrams 2011-2014,MT_355,Seasonal-168h,zero-label seasonal,0,55.78665714764941,98.59001250027983,8.938240384913083,2208
UCI Electricity Load Diagrams 2011-2014,MT_355,SSL-MR-lag-source-head,zero-label source representation,0,45.96669530071763,68.36283015300444,9.137356951546394,2208
UCI Electricity Load Diagrams 2011-2014,MT_355,SSL-MR-lag+adapter-1d,frozen source representation with target adapter,1,55.64326181972985,77.06258256811994,10.17685297679628,2208
UCI Electricity Load Diagrams 2011-2014,MT_355,Target-linear-1d,target-only lag-calendar ridge,1,70.44736895421374,103.25555800289672,11.432489767739018,2208
UCI Electricity Load Diagrams 2011-2014,MT_355,SSL-MR-lag+adapter-3d,frozen source representation with target adapter,3,54.208827562307384,76.05288341375451,10.672973713538166,2208
UCI Electricity Load Diagrams 2011-2014,MT_355,Target-linear-3d,target-only lag-calendar ridge,3,76.44928571889086,112.0133295467342,13.68347576323366,2208
UCI Electricity Load Diagrams 2011-2014,MT_355,SSL-MR-lag+adapter-7d,frozen source representation with target adapter,7,45.500409996820856,68.23422832753477,9.033721720048128,2208
UCI Electricity Load Diagrams 2011-2014,MT_355,Target-linear-7d,target-only lag-calendar ridge,7,48.44076199820753,83.71770261224628,8.216373043071275,2208
UCI Electricity Load Diagrams 2011-2014,MT_355,SSL-MR-lag+adapter-28d,frozen source representation with target adapter,28,45.2933111515563,67.71599536680658,9.109321556871608,2208
UCI Electricity Load Diagrams 2011-2014,MT_355,Target-linear-28d,target-only lag-calendar ridge,28,43.41180912185155,75.52691095567543,7.567259593197566,2208
UCI Electricity Load Diagrams 2011-2014,MT_166,Seasonal-24h,zero-label seasonal,0,79.78956449204597,132.69342856371478,7.103375754878635,2208
UCI Electricity Load Diagrams 2011-2014,MT_166,Seasonal-168h,zero-label seasonal,0,82.84292310908221,124.01946880355213,7.371411256285494,2208
UCI Electricity Load Diagrams 2011-2014,MT_166,SSL-MR-lag-source-head,zero-label source representation,0,61.09905673096836,86.08209090268468,5.505761340459061,2208
UCI Electricity Load Diagrams 2011-2014,MT_166,SSL-MR-lag+adapter-1d,frozen source representation with target adapter,1,65.35796113825137,91.34148510113619,5.897985165661281,2208
UCI Electricity Load Diagrams 2011-2014,MT_166,Target-linear-1d,target-only lag-calendar ridge,1,75.79341953340017,103.87874362415268,6.82850201082557,2208
UCI Electricity Load Diagrams 2011-2014,MT_166,SSL-MR-lag+adapter-3d,frozen source representation with target adapter,3,61.526970549487,86.05549008800509,5.602788355501604,2208
UCI Electricity Load Diagrams 2011-2014,MT_166,Target-linear-3d,target-only lag-calendar ridge,3,67.85181875136387,96.63397795353943,6.087846095750259,2208
UCI Electricity Load Diagrams 2011-2014,MT_166,SSL-MR-lag+adapter-7d,frozen source representation with target adapter,7,60.724283407417296,85.35040655946506,5.497540051761731,2208
UCI Electricity Load Diagrams 2011-2014,MT_166,Target-linear-7d,target-only lag-calendar ridge,7,65.75883277133313,96.652095190704,5.916479322934157,2208
UCI Electricity Load Diagrams 2011-2014,MT_166,SSL-MR-lag+adapter-28d,frozen source representation with target adapter,28,60.9686365524376,85.68456425250687,5.531252212113071,2208
UCI Electricity Load Diagrams 2011-2014,MT_166,Target-linear-28d,target-only lag-calendar ridge,28,62.76070470018607,95.76917439851739,5.642212302778998,2208
UCI Electricity Load Diagrams 2011-2014,MT_163,Seasonal-24h,zero-label seasonal,0,212.05905361451966,304.94730911164237,9.303781975793655,2208
UCI Electricity Load Diagrams 2011-2014,MT_163,Seasonal-168h,zero-label seasonal,0,136.08531940847203,203.57060705558186,5.840348326114257,2208
UCI Electricity Load Diagrams 2011-2014,MT_163,SSL-MR-lag-source-head,zero-label source representation,0,105.07595445999854,150.05275062400625,4.550844026516645,2208
UCI Electricity Load Diagrams 2011-2014,MT_163,SSL-MR-lag+adapter-1d,frozen source representation with target adapter,1,115.37779787105084,161.85307847981292,5.028545259143814,2208
UCI Electricity Load Diagrams 2011-2014,MT_163,Target-linear-1d,target-only lag-calendar ridge,1,130.11872435561477,183.12954446233826,5.658956589178482,2208
UCI Electricity Load Diagrams 2011-2014,MT_163,SSL-MR-lag+adapter-3d,frozen source representation with target adapter,3,321.4146125783326,409.5113923518338,14.951170094886256,2208
UCI Electricity Load Diagrams 2011-2014,MT_163,Target-linear-3d,target-only lag-calendar ridge,3,107.03169390767378,147.88886065286727,4.651066296753286,2208
UCI Electricity Load Diagrams 2011-2014,MT_163,SSL-MR-lag+adapter-7d,frozen source representation with target adapter,7,106.83186238563081,149.62609991010274,4.622653545564625,2208
UCI Electricity Load Diagrams 2011-2014,MT_163,Target-linear-7d,target-only lag-calendar ridge,7,104.64733173678295,145.92510546814907,4.536506051490441,2208
UCI Electricity Load Diagrams 2011-2014,MT_163,SSL-MR-lag+adapter-28d,frozen source representation with target adapter,28,103.11867889083304,147.02273498265677,4.465801909002129,2208
UCI Electricity Load Diagrams 2011-2014,MT_163,Target-linear-28d,target-only lag-calendar ridge,28,89.54312390545385,129.10735752940928,3.8579193477092115,2208
UCI Electricity Load Diagrams 2011-2014,MT_101,Seasonal-24h,zero-label seasonal,0,35.00377150549405,75.20647345506522,6.804834773564599,2208
UCI Electricity Load Diagrams 2011-2014,MT_101,Seasonal-168h,zero-label seasonal,0,42.73717263124991,71.44378371700371,7.9816868125935,2208
UCI Electricity Load Diagrams 2011-2014,MT_101,SSL-MR-lag-source-head,zero-label source representation,0,38.26633182879901,54.16865262026867,8.666026285626254,2208
UCI Electricity Load Diagrams 2011-2014,MT_101,SSL-MR-lag+adapter-1d,frozen source representation with target adapter,1,37.3842541275607,54.224802690897796,8.42855694869689,2208
UCI Electricity Load Diagrams 2011-2014,MT_101,Target-linear-1d,target-only lag-calendar ridge,1,36.46499923231725,70.55811876334765,7.239714560855642,2208
UCI Electricity Load Diagrams 2011-2014,MT_101,SSL-MR-lag+adapter-3d,frozen source representation with target adapter,3,42.6617655212532,59.84423621691715,10.009636931581099,2208
UCI Electricity Load Diagrams 2011-2014,MT_101,Target-linear-3d,target-only lag-calendar ridge,3,42.37627556835225,64.29196061198068,8.632419065967154,2208
UCI Electricity Load Diagrams 2011-2014,MT_101,SSL-MR-lag+adapter-7d,frozen source representation with target adapter,7,37.14521353805692,53.46963853480263,8.477535438180904,2208
UCI Electricity Load Diagrams 2011-2014,MT_101,Target-linear-7d,target-only lag-calendar ridge,7,38.71783960700451,61.43120113562003,7.6568675275566624,2208
UCI Electricity Load Diagrams 2011-2014,MT_101,SSL-MR-lag+adapter-28d,frozen source representation with target adapter,28,37.43123819337286,53.67934540688913,8.6139634531747,2208
UCI Electricity Load Diagrams 2011-2014,MT_101,Target-linear-28d,target-only lag-calendar ridge,28,37.04100063443865,59.2895525539652,7.248941169477027,2208
UCI Electricity Load Diagrams 2011-2014,MT_218,Seasonal-24h,zero-label seasonal,0,68.88167422750722,118.05820526404761,6.354551946567404,2208
UCI Electricity Load Diagrams 2011-2014,MT_218,Seasonal-168h,zero-label seasonal,0,81.71372761933699,127.24119188851255,7.218024397965249,2208
UCI Electricity Load Diagrams 2011-2014,MT_218,SSL-MR-lag-source-head,zero-label source representation,0,50.485062337226964,74.2244033284767,4.7174380293965905,2208
UCI Electricity Load Diagrams 2011-2014,MT_218,SSL-MR-lag+adapter-1d,frozen source representation with target adapter,1,53.10564908858106,77.99084786254137,4.963095818102919,2208
