model,protocol,adapt_days,target_clients,mean_mae,mean_rmse,mean_smape,total_n
SSL-MR-lag-source-head,zero-label source representation,0,10,52.37673663475933,75.68890412898782,6.4334577474232875,22080
Seasonal-168h,zero-label seasonal,0,10,72.85035401124885,113.50014148987391,8.250705553394472,22080
Seasonal-24h,zero-label seasonal,0,10,75.86191405386164,125.96588385570507,8.047342505824416,22080
SSL-MR-lag+adapter-1d,frozen source representation with target adapter,1,10,60.600554489141004,84.45522079105099,7.353310897742875,22080
Target-linear-1d,target-only lag-calendar ridge,1,10,74.68471799123316,111.63981413372944,8.608656115330717,22080
Target-linear-3d,target-only lag-calendar ridge,3,10,89.08963521487537,120.37728320471847,12.062186973040777,22080
SSL-MR-lag+adapter-3d,frozen source representation with target adapter,3,10,96.20694908217709,126.22409035193114,10.698712017449482,22080
SSL-MR-lag+adapter-7d,frozen source representation with target adapter,7,10,52.58563989006458,75.74487640832804,6.445986743791717,22080
Target-linear-7d,target-only lag-calendar ridge,7,10,57.23499544563872,88.09554175372205,6.729255748846261,22080
SSL-MR-lag+adapter-28d,frozen source representation with target adapter,28,10,51.76994366373841,74.96186632631252,6.4105953738625345,22080
Target-linear-28d,target-only lag-calendar ridge,28,10,53.43239200262798,82.7816338393267,6.364371263212733,22080
