dataset,target_client,model,protocol,mae,rmse,smape,n
UCI Electricity Load Diagrams 2011-2014,MT_355,SSL-MR-source-head,source-only frozen representation,65.21482259323467,93.28554661680344,13.58761420074023,2208
UCI Electricity Load Diagrams 2011-2014,MT_355,SSL-MR+adapter-7d,frozen representation with target adapter,63.35891367757199,91.6625915120683,13.523959589756185,2208
UCI Electricity Load Diagrams 2011-2014,MT_355,SSL-MR+target-head-7d,frozen representation with target head,532.9655034150329,749.0866356291831,64.96618003283815,2208
UCI Electricity Load Diagrams 2011-2014,MT_355,SSL-MR+adapter-28d,frozen representation with target adapter,63.1775307716372,90.98723984653556,13.714519466259786,2208
UCI Electricity Load Diagrams 2011-2014,MT_355,SSL-MR+target-head-28d,frozen representation with target head,68.1370609346999,96.16971035638308,15.548879000021563,2208
UCI Electricity Load Diagrams 2011-2014,MT_166,SSL-MR-source-head,source-only frozen representation,71.12876856722642,103.98486299540504,6.650748826507824,2208
UCI Electricity Load Diagrams 2011-2014,MT_166,SSL-MR+adapter-7d,frozen representation with target adapter,69.36633564786884,101.43540048555404,6.51715452759096,2208
UCI Electricity Load Diagrams 2011-2014,MT_166,SSL-MR+target-head-7d,frozen representation with target head,789.5224317611539,959.3503491631867,103.81931204837002,2208
UCI Electricity Load Diagrams 2011-2014,MT_166,SSL-MR+adapter-28d,frozen representation with target adapter,69.1753896158831,101.63777948038394,6.487380729333723,2208
UCI Electricity Load Diagrams 2011-2014,MT_166,SSL-MR+target-head-28d,frozen representation with target head,174.36508504760508,214.69448228947442,18.755593841671928,2208
UCI Electricity Load Diagrams 2011-2014,MT_163,SSL-MR-source-head,source-only frozen representation,154.41910947921374,212.97565361335091,6.734418231722343,2208
UCI Electricity Load Diagrams 2011-2014,MT_163,SSL-MR+adapter-7d,frozen representation with target adapter,156.10584059611347,213.34882066463504,6.780147015708684,2208
UCI Electricity Load Diagrams 2011-2014,MT_163,SSL-MR+target-head-7d,frozen representation with target head,165.50454223720058,221.231423660614,7.276062220173568,2208
UCI Electricity Load Diagrams 2011-2014,MT_163,SSL-MR+adapter-28d,frozen representation with target adapter,148.93768567493876,205.79027237823354,6.478097251639974,2208
UCI Electricity Load Diagrams 2011-2014,MT_163,SSL-MR+target-head-28d,frozen representation with target head,133.40940218680686,183.17030699570128,5.786598169826027,2208
UCI Electricity Load Diagrams 2011-2014,MT_101,SSL-MR-source-head,source-only frozen representation,54.233847250967614,76.8907314897912,12.728543975235468,2208
UCI Electricity Load Diagrams 2011-2014,MT_101,SSL-MR+adapter-7d,frozen representation with target adapter,52.44204193318394,74.9381380070675,12.576857892206897,2208
UCI Electricity Load Diagrams 2011-2014,MT_101,SSL-MR+target-head-7d,frozen representation with target head,203.13349171840449,265.38780116974283,37.31434261315361,2208
