seed,dataset,target_client,model,protocol,adapt_days,mae,rmse,smape,n
20260710,UCI Electricity Load Diagrams 2011-2014,MT_355,TDConv-ridge-source-head,source-subsampled trainable TDConv source head,0,31.732979743366858,54.36833332115354,6.308805055990326,2208
20260710,UCI Electricity Load Diagrams 2011-2014,MT_355,TDConv-ridge+adapter-28d,source-subsampled trainable TDConv with 28d target adapter,28,31.48671764671907,53.77705669797,6.562374086304327,2208
20260710,UCI Electricity Load Diagrams 2011-2014,MT_166,TDConv-ridge-source-head,source-subsampled trainable TDConv source head,0,56.11171035622058,78.0581321705269,4.997684801426551,2208
20260710,UCI Electricity Load Diagrams 2011-2014,MT_166,TDConv-ridge+adapter-28d,source-subsampled trainable TDConv with 28d target adapter,28,56.44513377791717,78.14458805859775,5.08586023026934,2208
20260710,UCI Electricity Load Diagrams 2011-2014,MT_163,TDConv-ridge-source-head,source-subsampled trainable TDConv source head,0,91.30348486305469,133.46927891150344,3.9578227718683294,2208
20260710,UCI Electricity Load Diagrams 2011-2014,MT_163,TDConv-ridge+adapter-28d,source-subsampled trainable TDConv with 28d target adapter,28,90.43063698678692,132.28717986333717,3.9220537033465295,2208
20260710,UCI Electricity Load Diagrams 2011-2014,MT_101,TDConv-ridge-source-head,source-subsampled trainable TDConv source head,0,26.013958427003338,44.26230185150941,5.6139170163403085,2208
20260710,UCI Electricity Load Diagrams 2011-2014,MT_101,TDConv-ridge+adapter-28d,source-subsampled trainable TDConv with 28d target adapter,28,26.32828421444863,44.15480478438805,5.835005865877404,2208
20260710,UCI Electricity Load Diagrams 2011-2014,MT_218,TDConv-ridge-source-head,source-subsampled trainable TDConv source head,0,40.99455362446377,62.67117489411663,3.8658187789559406,2208
20260710,UCI Electricity Load Diagrams 2011-2014,MT_218,TDConv-ridge+adapter-28d,source-subsampled trainable TDConv with 28d target adapter,28,41.14273845242991,62.28429343377724,3.8781327459790025,2208
20260710,UCI Electricity Load Diagrams 2011-2014,MT_043,TDConv-ridge-source-head,source-subsampled trainable TDConv source head,0,72.4291053237659,99.41528581355227,6.270344126935639,2208
20260710,UCI Electricity Load Diagrams 2011-2014,MT_043,TDConv-ridge+adapter-28d,source-subsampled trainable TDConv with 28d target adapter,28,72.69063514770525,99.87264396017495,6.286308639087985,2208
20260710,UCI Electricity Load Diagrams 2011-2014,MT_314,TDConv-ridge-source-head,source-subsampled trainable TDConv source head,0,35.85251280272111,55.18689928464694,3.8443335290198917,2208
20260710,UCI Electricity Load Diagrams 2011-2014,MT_314,TDConv-ridge+adapter-28d,source-subsampled trainable TDConv with 28d target adapter,28,36.29800340487145,55.261913372370465,3.9233524583578574,2208
20260710,UCI Electricity Load Diagrams 2011-2014,MT_104,TDConv-ridge-source-head,source-subsampled trainable TDConv source head,0,20.531270789967024,34.47696692456188,5.31606768644407,2208
20260710,UCI Electricity Load Diagrams 2011-2014,MT_104,TDConv-ridge+adapter-28d,source-subsampled trainable TDConv with 28d target adapter,28,20.5579827984219,33.74472102577387,5.440120840762135,2208
20260710,UCI Electricity Load Diagrams 2011-2014,MT_222,TDConv-ridge-source-head,source-subsampled trainable TDConv source head,0,32.02744260595749,49.80318210875135,4.285451196091385,2208
20260710,UCI Electricity Load Diagrams 2011-2014,MT_222,TDConv-ridge+adapter-28d,source-subsampled trainable TDConv with 28d target adapter,28,31.686287370724063,49.51810092889505,4.255286846232444,2208
20260710,UCI Electricity Load Diagrams 2011-2014,MT_360,TDConv-ridge-source-head,source-subsampled trainable TDConv source head,0,29.738042266586422,44.12092070679497,7.067634906295496,2208
20260710,UCI Electricity Load Diagrams 2011-2014,MT_360,TDConv-ridge+adapter-28d,source-subsampled trainable TDConv with 28d target adapter,28,29.875901642658313,44.05249515782667,7.160270212369007,2208
20260711,UCI Electricity Load Diagrams 2011-2014,MT_355,TDConv-ridge-source-head,source-subsampled trainable TDConv source head,0,31.1990780196266,54.39801441639367,6.240419631875418,2208
20260711,UCI Electricity Load Diagrams 2011-2014,MT_355,TDConv-ridge+adapter-28d,source-subsampled trainable TDConv with 28d target adapter,28,31.364813913361584,54.01684195519017,6.535389701727953,2208
20260711,UCI Electricity Load Diagrams 2011-2014,MT_166,TDConv-ridge-source-head,source-subsampled trainable TDConv source head,0,55.6161810945041,77.60035407606472,4.949961599487048,2208
20260711,UCI Electricity Load Diagrams 2011-2014,MT_166,TDConv-ridge+adapter-28d,source-subsampled trainable TDConv with 28d target adapter,28,56.232890027275744,77.92844458062237,5.068049693373892,2208
20260711,UCI Electricity Load Diagrams 2011-2014,MT_163,TDConv-ridge-source-head,source-subsampled trainable TDConv source head,0,91.22289776795604,133.4444901722131,3.952480716883977,2208
20260711,UCI Electricity Load Diagrams 2011-2014,MT_163,TDConv-ridge+adapter-28d,source-subsampled trainable TDConv with 28d target adapter,28,90.32501960349647,132.16393799818067,3.916278905835082,2208
20260711,UCI Electricity Load Diagrams 2011-2014,MT_101,TDConv-ridge-source-head,source-subsampled trainable TDConv source head,0,25.81989800888367,44.4828815605932,5.583066727373743,2208
