dataset,target_client,model,protocol,adapt_days,mae,rmse,smape,n
UCI Electricity Load Diagrams 2011-2014,MT_355,TDConv-ridge-source-head,trainable dilated-convolution source head,0,31.201532691909993,54.05628765886267,6.217775658507158,2208
UCI Electricity Load Diagrams 2011-2014,MT_355,Seasonal-24h,zero-label seasonal,0,40.49633342977883,89.34583567234019,7.7548024674105305,2208
UCI Electricity Load Diagrams 2011-2014,MT_355,Seasonal-168h,zero-label seasonal,0,55.78665714764941,98.59001250027983,8.938240384913083,2208
UCI Electricity Load Diagrams 2011-2014,MT_355,TDConv-ridge+adapter-7d,trainable dilated-convolution source head with target adapter,7,32.00794145754731,54.31083658767995,6.473789261804106,2208
UCI Electricity Load Diagrams 2011-2014,MT_355,TDConv-ridge+target-head-7d,target-only trainable dilated-convolution ridge,7,164.66496450439598,200.33782379021815,29.491514333229578,2208
UCI Electricity Load Diagrams 2011-2014,MT_355,TDConv-ridge+adapter-28d,trainable dilated-convolution source head with target adapter,28,31.249848828387535,53.64955246736844,6.50109799280693,2208
UCI Electricity Load Diagrams 2011-2014,MT_355,TDConv-ridge+target-head-28d,target-only trainable dilated-convolution ridge,28,48.0545321508867,67.31612634156072,10.462812927137932,2208
UCI Electricity Load Diagrams 2011-2014,MT_166,TDConv-ridge-source-head,trainable dilated-convolution source head,0,55.80023457436395,77.78987613955886,4.968832170675966,2208
UCI Electricity Load Diagrams 2011-2014,MT_166,Seasonal-24h,zero-label seasonal,0,79.78956449204597,132.69342856371478,7.103375754878635,2208
UCI Electricity Load Diagrams 2011-2014,MT_166,Seasonal-168h,zero-label seasonal,0,82.84292310908221,124.01946880355213,7.371411256285494,2208
UCI Electricity Load Diagrams 2011-2014,MT_166,TDConv-ridge+adapter-7d,trainable dilated-convolution source head with target adapter,7,56.08593468153542,77.76397608163634,5.048050098527924,2208
UCI Electricity Load Diagrams 2011-2014,MT_166,TDConv-ridge+target-head-7d,target-only trainable dilated-convolution ridge,7,93.96919244860833,131.23346285421832,8.751228950978005,2208
UCI Electricity Load Diagrams 2011-2014,MT_166,TDConv-ridge+adapter-28d,trainable dilated-convolution source head with target adapter,28,56.27592182750327,77.98084384907416,5.066109659980983,2208
UCI Electricity Load Diagrams 2011-2014,MT_166,TDConv-ridge+target-head-28d,target-only trainable dilated-convolution ridge,28,90.19528671979624,116.28119023329054,8.420944686094947,2208
UCI Electricity Load Diagrams 2011-2014,MT_163,TDConv-ridge-source-head,trainable dilated-convolution source head,0,91.4185025942876,133.6036766987084,3.963252374155415,2208
UCI Electricity Load Diagrams 2011-2014,MT_163,Seasonal-24h,zero-label seasonal,0,212.05905361451966,304.94730911164237,9.303781975793655,2208
UCI Electricity Load Diagrams 2011-2014,MT_163,Seasonal-168h,zero-label seasonal,0,136.08531940847203,203.57060705558186,5.840348326114257,2208
UCI Electricity Load Diagrams 2011-2014,MT_163,TDConv-ridge+adapter-7d,trainable dilated-convolution source head with target adapter,7,92.53446682246386,133.92767341169912,4.0204511352649135,2208
UCI Electricity Load Diagrams 2011-2014,MT_163,TDConv-ridge+target-head-7d,target-only trainable dilated-convolution ridge,7,206.5267980247667,274.5551077258179,9.080541803248291,2208
UCI Electricity Load Diagrams 2011-2014,MT_163,TDConv-ridge+adapter-28d,trainable dilated-convolution source head with target adapter,28,90.24589181933092,132.03445493583396,3.914088453974089,2208
UCI Electricity Load Diagrams 2011-2014,MT_163,TDConv-ridge+target-head-28d,target-only trainable dilated-convolution ridge,28,90.87163689535117,129.51146075596918,3.911163013421637,2208
UCI Electricity Load Diagrams 2011-2014,MT_101,TDConv-ridge-source-head,trainable dilated-convolution source head,0,25.644016983665775,44.07829873762962,5.520660775794892,2208
UCI Electricity Load Diagrams 2011-2014,MT_101,Seasonal-24h,zero-label seasonal,0,35.00377150549405,75.20647345506522,6.804834773564599,2208
UCI Electricity Load Diagrams 2011-2014,MT_101,Seasonal-168h,zero-label seasonal,0,42.73717263124991,71.44378371700371,7.9816868125935,2208
UCI Electricity Load Diagrams 2011-2014,MT_101,TDConv-ridge+adapter-7d,trainable dilated-convolution source head with target adapter,7,25.689513719335316,43.850597095124236,5.65149564419283,2208
UCI Electricity Load Diagrams 2011-2014,MT_101,TDConv-ridge+target-head-7d,target-only trainable dilated-convolution ridge,7,62.09315463863783,87.1152375692574,14.166762419303645,2208
