number,key,status,doi,url,expected_title,resolved_title,title_match,note
1,bertsimas2020prescriptive,doi_verified,10.1287/mnsc.2018.3253,https://doi.org/10.1287/mnsc.2018.3253,From Predictive to Prescriptive Analytics,From Predictive to Prescriptive Analytics,yes,
2,elmachtoub2022smart,doi_verified,10.1287/mnsc.2020.3922,https://doi.org/10.1287/mnsc.2020.3922,"Smart Predict, then Optimize","Smart “Predict, then Optimize”",yes,
3,amos2017optnet,url_verified_no_doi,,https://proceedings.mlr.press/v70/amos17a.html,OptNet: Differentiable Optimization as a Layer in Neural Networks,,,PMLR proceedings item; no DOI inserted.
4,donti2017task,url_verified_no_doi,,https://papers.neurips.cc/paper/7132-task-based-end-to-end-model-learning-in-stochastic-optimization,Task-based End-to-end Model Learning in Stochastic Optimization,,,NeurIPS proceedings item; no DOI inserted.
5,wilder2019melding,doi_verified,10.1609/aaai.v33i01.33011658,https://doi.org/10.1609/aaai.v33i01.33011658,Melding the Data-Decisions Pipeline: Decision-Focused Learning for Combinatorial Optimization,Melding the Data-Decisions Pipeline: Decision-Focused Learning for Combinatorial Optimization,yes,
6,rockafellar2000cvar,doi_verified,10.21314/JOR.2000.038,https://doi.org/10.21314/JOR.2000.038,Optimization of conditional value-at-risk,Optimization of conditional value-at-risk,yes,
7,boyd2004convex,doi_verified,10.1017/CBO9780511804441,https://doi.org/10.1017/CBO9780511804441,Convex Optimization,Convex Optimization,yes,
8,angelopoulos2023conformal,doi_verified,10.1561/2200000101,https://doi.org/10.1561/2200000101,Conformal Prediction: A Gentle Introduction,Conformal Prediction: A Gentle Introduction,yes,
9,lim2021temporal,doi_verified,10.1016/j.ijforecast.2021.03.012,https://doi.org/10.1016/j.ijforecast.2021.03.012,Temporal fusion transformers for interpretable multi-horizon time series forecasting,Temporal Fusion Transformers for interpretable multi-horizon time series forecasting,yes,
10,lago2021benchmark,doi_verified,10.1016/j.apenergy.2021.116983,https://doi.org/10.1016/j.apenergy.2021.116983,"Forecasting day-ahead electricity prices: A review of state-of-the-art algorithms, best practices and an open-access benchmark","Forecasting day-ahead electricity prices: A review of state-of-the-art algorithms, best practices and an open-access benchmark",yes,
11,hong2016probabilistic,doi_verified,10.1016/j.ijforecast.2016.02.001,https://doi.org/10.1016/j.ijforecast.2016.02.001,Probabilistic energy forecasting: Global Energy Forecasting Competition 2014 and beyond,Probabilistic energy forecasting: Global Energy Forecasting Competition 2014 and beyond,yes,
12,rouzbahani2021vppreview,doi_verified,10.1016/j.seta.2021.101370,https://doi.org/10.1016/j.seta.2021.101370,A review on virtual power plant for energy management,A review on virtual power plant for energy management,yes,
13,nosratabadi2017microgridvpp,doi_verified,10.1016/j.rser.2016.09.025,https://doi.org/10.1016/j.rser.2016.09.025,A comprehensive review on microgrid and virtual power plant concepts employed for distributed energy resources scheduling in power systems,A comprehensive review on microgrid and virtual power plant concepts employed for distributed energy resources scheduling in power systems,yes,
14,nguyen2018vppbidding,doi_verified,10.1109/TIA.2018.2828379,https://doi.org/10.1109/TIA.2018.2828379,A Bidding Strategy for Virtual Power Plants With the Intraday Demand Response Exchange Market Using the Stochastic Programming,A Bidding Strategy for Virtual Power Plants With the Intraday Demand Response Exchange Market Using the Stochastic Programming,yes,
15,shafiekhani2019strategic,doi_verified,10.1016/j.ijepes.2019.05.023,https://doi.org/10.1016/j.ijepes.2019.05.023,Strategic bidding of virtual power plant in energy markets: A bi-level multi-objective approach,Strategic bidding of virtual power plant in energy markets: A bi-level multi-objective approach,yes,
16,opsd2020timeseries,url_verified_no_doi,,https://data.open-power-system-data.org/time_series/2020-10-06/,Time series data package,,,"Public hourly load, price, wind, and solar time series used for the OPSD benchmark."
17,zadeh1965fuzzy,doi_verified,10.1016/S0019-9958(65)90241-X,https://doi.org/10.1016/S0019-9958(65)90241-X,Fuzzy sets,Fuzzy sets,yes,
18,takagi1985fuzzy,doi_verified,10.1109/TSMC.1985.6313399,https://doi.org/10.1109/TSMC.1985.6313399,Fuzzy identification of systems and its applications to modeling and control,Fuzzy identification of systems and its applications to modeling and control,yes,
19,jang1993anfis,doi_verified,10.1109/21.256541,https://doi.org/10.1109/21.256541,ANFIS: adaptive-network-based fuzzy inference system,ANFIS: adaptive-network-based fuzzy inference system,yes,
20,kar2014neurofuzzy,doi_verified,10.1016/j.asoc.2013.10.014,https://doi.org/10.1016/j.asoc.2013.10.014,Applications of neuro fuzzy systems: A brief review and future outline,Applications of neuro fuzzy systems: A brief review and future outline,yes,
21,alawami2017fuzzyvpp,doi_verified,10.1109/TIA.2017.2723338,https://doi.org/10.1109/TIA.2017.2723338,Optimal Demand Response Bidding and Pricing Mechanism With Fuzzy Optimization: Application for a Virtual Power Plant,Optimal Demand Response Bidding and Pricing Mechanism With Fuzzy Optimization: Application for a Virtual Power Plant,yes,
22,vazquez2019rl,doi_verified,10.1016/j.apenergy.2018.11.002,https://doi.org/10.1016/j.apenergy.2018.11.002,Reinforcement learning for demand response: A review of algorithms and modeling techniques,Reinforcement learning for demand response: A review of algorithms and modeling techniques,yes,
23,weron2014epf,doi_verified,10.1016/j.ijforecast.2014.08.008,https://doi.org/10.1016/j.ijforecast.2014.08.008,Electricity price forecasting: A review of the state-of-the-art with a look into the future,Electricity price forecasting: A review of the state-of-the-art with a look into the future,yes,
24,nowotarski2018probepf,doi_verified,10.1016/j.rser.2017.05.234,https://doi.org/10.1016/j.rser.2017.05.234,Recent advances in electricity price forecasting: A review of probabilistic forecasting,Recent advances in electricity price forecasting: A review of probabilistic forecasting,yes,
25,pandzic2013offering,doi_verified,10.1016/j.apenergy.2012.12.077,https://doi.org/10.1016/j.apenergy.2012.12.077,Offering model for a virtual power plant based on stochastic programming,Offering model for a virtual power plant based on stochastic programming,yes,
26,mashhour2011part1,doi_verified,10.1109/TPWRS.2010.2070884,https://doi.org/10.1109/TPWRS.2010.2070884,Bidding Strategy of Virtual Power Plant for Participating in Energy and Spinning Reserve Markets—Part I: Problem Formulation,Bidding Strategy of Virtual Power Plant for Participating in Energy and Spinning Reserve Markets—Part I: Problem Formulation,yes,
27,dabbagh2016industrialvpp,doi_verified,10.1016/j.apenergy.2015.12.024,https://doi.org/10.1016/j.apenergy.2015.12.024,Stochastic profit-based scheduling of industrial virtual power plant using the best demand response strategy,Stochastic profit-based scheduling of industrial virtual power plant using the best demand response strategy,yes,
28,yang2018bioinspired,doi_verified,10.1016/j.asoc.2018.04.051,https://doi.org/10.1016/j.asoc.2018.04.051,Hybrid bio-Inspired computational intelligence techniques for solving power system optimization problems: A comprehensive survey,Hybrid bio-Inspired computational intelligence techniques for solving power system optimization problems: A comprehensive survey,yes,
29,saber2021adaptivefuzzy,doi_verified,10.1016/j.asoc.2020.106882,https://doi.org/10.1016/j.asoc.2020.106882,Adaptive optimal fuzzy logic based energy management in multi-energy microgrid considering operational uncertainties,Adaptive optimal fuzzy logic based energy management in multi-energy microgrid considering operational uncertainties,yes,
30,mamaghani2017fuzzymicrogrid,doi_verified,10.1016/j.asoc.2017.05.059,https://doi.org/10.1016/j.asoc.2017.05.059,Hierarchical genetic optimization of a fuzzy logic system for energy flows management in microgrids,Hierarchical genetic optimization of a fuzzy logic system for energy flows management in microgrids,yes,
31,mandi2024dflsurvey,doi_verified,10.1613/jair.1.15320,https://doi.org/10.1613/jair.1.15320,"Decision-Focused Learning: Foundations, State of the Art, Benchmark and Future Opportunities","Decision-Focused Learning: Foundations, State of the Art, Benchmark and Future Opportunities",yes,
32,li2024vppoperationsreview,doi_verified,10.1016/j.apenergy.2023.122284,https://doi.org/10.1016/j.apenergy.2023.122284,Review of virtual power plant operations: Resource coordination and multidimensional interaction,Review of virtual power plant operations: Resource coordination and multidimensional interaction,yes,
33,du2023drlsmartgrid,doi_verified,10.1109/JPROC.2023.3303358,https://doi.org/10.1109/JPROC.2023.3303358,"Deep Reinforcement Learning for Smart Grid Operations: Algorithms, Applications, and Prospects","Deep Reinforcement Learning for Smart Grid Operations: Algorithms, Applications, and Prospects",yes,
34,bental2009robust,doi_verified,10.1515/9781400831050,https://doi.org/10.1515/9781400831050,Robust Optimization,Robust Optimization,yes,
35,birge2011stochastic,doi_verified,10.1007/978-1-4614-0237-4,https://doi.org/10.1007/978-1-4614-0237-4,Introduction to Stochastic Programming,Introduction to Stochastic Programming,yes,
