split,zone,method,days,mean_revenue,mean_regret,median_regret,negative_revenue_days,revenue_p05,cvar_10,mean_imbalance_penalty
test,DE_LU,Fuzzy risk-aware FTO,140,15.796159744358134,19.38791472769156,12.69475154997172,2,2.302675407174425,1.9451187214366799,2.023655659368576
test,DE_LU,Hindsight optimum,140,35.18407447204969,0.0,0.0,0,13.519750869565216,13.356877639751556,0.0
test,DE_LU,Prev-day FTO,140,21.41641080502909,13.767663667020603,8.229612001906112,10,-2.2309614910055764,-3.4235513406913833,2.5085006856541447
test,DE_LU,Robust quantile FTO,140,21.48616383058956,13.697910641460128,8.148291437116889,2,3.1522143671998832,2.604622475714542,2.05086766009367
test,DE_LU,Rolling-28d mean FTO,140,22.241440161378573,12.942634310671117,8.039075382948006,8,-1.274872566273228,-2.305038395412474,2.4534672299257756
test,DK_1,Fuzzy risk-aware FTO,413,6.143714273346532,25.77354958600709,22.255393157720064,146,-12.012604066194532,-13.712407156787595,6.482317666857702
test,DK_1,Hindsight optimum,413,31.91726385935362,0.0,0.0,3,7.366460869565215,7.339132712215321,0.0
test,DK_1,Prev-day FTO,413,11.481325015470585,20.435938843883033,15.258561076322916,99,-14.000768142080428,-15.307919789977193,7.036304208658272
test,DK_1,Robust quantile FTO,413,15.660755105020328,16.256508754333286,12.778075039054123,64,-9.090514176137777,-10.602344912603415,6.496147284704907
test,DK_1,Rolling-28d mean FTO,413,15.645804246587284,16.271459612766336,13.463792088902878,65,-7.6740419313599935,-9.341099459468115,6.626471698249018
test,DK_2,Fuzzy risk-aware FTO,413,11.40399945414119,21.548134833678585,17.789673567039806,85,-4.201265816863975,-5.9472130928997435,2.7895132524595074
test,DK_2,Hindsight optimum,413,32.952134287819774,0.0,0.0,2,6.813739130434788,6.0096509316770215,0.0
test,DK_2,Prev-day FTO,413,17.802356178003162,15.149778109816612,9.246185135972496,61,-7.50769436175249,-9.486973875031225,3.063872730302978
test,DK_2,Robust quantile FTO,413,20.52468361090663,12.427450676913141,8.460535506126803,28,-0.9786975719350057,-1.9894649545463605,2.7847912390775797
test,DK_2,Rolling-28d mean FTO,413,20.77093030877454,12.181203979045232,8.782811264114144,35,-1.5076638980181922,-2.3573329075401808,2.8331530263133664
test,GB_GBN,Fuzzy risk-aware FTO,412,12.022157064819439,21.80402738009403,18.813407681416155,26,-0.6804481717744147,-2.1556215396637133,1.88457794995473
test,GB_GBN,Hindsight optimum,412,33.826184444913466,0.0,0.0,0,16.950850000000003,16.610904761904763,0.0
test,GB_GBN,Prev-day FTO,412,22.36321445498137,11.462969989932098,7.542068659020249,14,2.4949290705386233,-0.5703851593907467,2.008213341557257
test,GB_GBN,Robust quantile FTO,412,26.83933659050897,6.9868478544044965,5.133430955009828,3,8.518646411474071,7.649167617597406,1.8481130929017529
test,GB_GBN,Rolling-28d mean FTO,412,26.86636214914985,6.959822295763615,5.279510109916892,2,9.301910990011681,8.002353849246585,1.8551713882076852
train,DE_LU,Fuzzy risk-aware FTO,418,12.596148326843085,23.010445016198315,17.196771515406667,46,-4.1077961633562055,-5.901050955496875,2.792539961070378
train,DE_LU,Hindsight optimum,418,35.6065933430414,0.0,0.0,0,12.982353043478266,12.29209275362319,0.0
train,DE_LU,Prev-day FTO,418,18.136863645296142,17.46972969774526,10.432811141082436,42,-5.594015069770809,-9.879185212039962,2.8159841183818304
train,DE_LU,Robust quantile FTO,418,22.736584678657273,12.870008664384127,7.996850156668611,21,0.12822438024235883,-0.3422774950427744,2.765903775680155
