dataset,zone,date,method,penalty_rate,transaction_cost,revenue,hindsight_revenue,regret,battery_revenue,flex_value,imbalance_penalty,transaction_penalty,hindsight_transaction_penalty,negative_revenue
OPSD,DE_LU,2020-05-13,Coarse revenue grid,45.0,0.0,-7.085648679404301,28.08666956521739,35.17231824462169,-3.517330434782604,0.8730000000000011,4.441318244621698,0.0,0.0,1
OPSD,DE_LU,2020-05-14,Coarse revenue grid,45.0,0.0,7.675387300154669,15.491086956521743,7.815699656367074,5.271095652173916,5.567999999999999,3.1637083520192446,0.0,0.0,0
OPSD,DE_LU,2020-05-15,Coarse revenue grid,45.0,0.0,7.596066724985128,11.302104347826084,3.706037622840956,3.937104347826093,4.557000000000001,0.898037622840967,0.0,0.0,0
OPSD,DE_LU,2020-05-16,Coarse revenue grid,45.0,0.0,21.71045987723483,24.804591304347827,3.0941314271129983,13.750917391304348,10.1385,2.17895751406952,0.0,0.0,0
OPSD,DE_LU,2020-05-17,Coarse revenue grid,45.0,0.0,46.21157895906803,50.56806956521739,4.3564906061493645,31.241169565217398,19.3155,4.3450906061493715,0.0,0.0,0
OPSD,DE_LU,2020-05-18,Coarse revenue grid,45.0,0.0,17.640034358660625,21.874095652173914,4.234061293513289,10.259099999999998,8.149499999999998,0.7685656413393717,0.0,0.0,0
OPSD,DE_LU,2020-05-19,Coarse revenue grid,45.0,0.0,28.625461030601233,33.53213913043477,4.906678099833538,17.53237826086956,13.414499999999997,2.321417230268325,0.0,0.0,0
OPSD,DE_LU,2020-05-20,Coarse revenue grid,45.0,0.0,27.186812247585223,47.15659130434782,19.969779056762597,16.956652173913046,13.581000000000001,3.3508399263278226,0.0,0.0,0
OPSD,DE_LU,2020-05-21,Coarse revenue grid,45.0,0.0,22.810615405753182,25.031843478260868,2.221228072507685,14.079495652173915,10.674,1.94288024642073,0.0,0.0,0
OPSD,DE_LU,2020-05-22,Coarse revenue grid,45.0,0.0,5.702553974105973,12.652478260869561,6.949924286763588,3.1652304347826075,3.8684999999999987,1.3311764606766334,0.0,0.0,0
OPSD,DE_LU,2020-05-23,Coarse revenue grid,45.0,0.0,15.266281824231122,25.859721739130435,10.593439914899314,11.685308695652175,7.7115,4.130526871421054,0.0,0.0,0
OPSD,DE_LU,2020-05-24,Coarse revenue grid,45.0,0.0,131.72065567286242,144.22149565217393,12.500839979311507,87.58170434782608,49.559999999999995,5.421048674963644,0.0,0.0,0
OPSD,DE_LU,2020-05-25,Coarse revenue grid,45.0,0.0,20.709650349916355,33.43921739130435,12.729567041387991,12.554347826086957,9.81,1.654697476170602,0.0,0.0,0
OPSD,DE_LU,2020-05-26,Coarse revenue grid,45.0,0.0,24.891235785758973,31.708217391304352,6.816981605545379,15.88251739130435,12.580499999999999,3.571781605545374,0.0,0.0,0
OPSD,DE_LU,2020-05-27,Coarse revenue grid,45.0,0.0,2.209923325529112,10.718834782608699,8.508911457079588,0.49876086956521704,2.5124999999999997,0.8013375440361049,0.0,0.0,0
OPSD,DE_LU,2020-05-28,Coarse revenue grid,45.0,0.0,11.35642322278524,13.00273043478261,1.6463072119973692,6.20201304347826,5.830499999999998,0.6760898206930163,0.0,0.0,0
OPSD,DE_LU,2020-05-29,Coarse revenue grid,45.0,0.0,8.10930582493261,18.262704347826094,10.153398522893484,4.372234782608697,4.772999999999999,1.0359289576760862,0.0,0.0,0
OPSD,DE_LU,2020-05-30,Coarse revenue grid,45.0,0.0,18.3095030533052,21.082921739130438,2.773418685825238,12.526921739130435,8.556,2.7734186858252348,0.0,0.0,0
OPSD,DE_LU,2020-05-31,Coarse revenue grid,45.0,0.0,59.864535361044496,65.15222608695653,5.287690725912036,41.22122608695652,23.931,5.287690725912023,0.0,0.0,0
OPSD,DE_LU,2020-06-01,Coarse revenue grid,45.0,0.0,65.76323466769244,69.9965304347826,4.233295767090155,43.745030434782606,26.251499999999997,4.233295767090156,0.0,0.0,0
OPSD,DE_LU,2020-06-02,Coarse revenue grid,45.0,0.0,41.65843157207697,53.732756521739134,12.074324949662163,25.676991304347823,18.833999999999996,2.8525597322708496,0.0,0.0,0
OPSD,DE_LU,2020-06-03,Coarse revenue grid,45.0,0.0,8.259843480334688,28.627200000000006,20.367356519665318,4.479943478260875,5.7165,1.936599997926188,0.0,0.0,0
OPSD,DE_LU,2020-06-04,Coarse revenue grid,45.0,0.0,-11.594045586505072,23.979704347826093,35.57374993433116,-6.539869565217391,-1.3590000000000002,3.695176021287682,0.0,0.0,1
OPSD,DE_LU,2020-06-05,Coarse revenue grid,45.0,0.0,-1.4431809425341036,32.41173043478261,33.85491137731672,-0.7403478260869569,2.0519999999999987,2.7548331164471453,0.0,0.0,1
OPSD,DE_LU,2020-06-06,Coarse revenue grid,45.0,0.0,35.784657199841895,39.01306956521739,3.2284123653754975,23.742526086956524,15.2115,3.169368887114627,0.0,0.0,0
OPSD,DE_LU,2020-06-07,Coarse revenue grid,45.0,0.0,22.926269835004575,26.97806956521739,4.051799730212814,13.384808695652175,10.047,0.5055388606475997,0.0,0.0,0
OPSD,DE_LU,2020-06-08,Coarse revenue grid,45.0,0.0,-1.541862659806109,23.709165217391313,25.251027877197423,-0.18994782608695715,3.1559999999999966,4.507914833719148,0.0,0.0,1
OPSD,DE_LU,2020-06-09,Coarse revenue grid,45.0,0.0,-3.8514771321409413,33.3518347826087,37.20331191474964,-1.6549608695652154,2.806500000000001,5.003016262575727,0.0,0.0,1
OPSD,DE_LU,2020-06-10,Coarse revenue grid,45.0,0.0,-8.131427919564045,22.8634695652174,30.994897484781447,-4.6950478260869595,0.4244999999999976,3.860880093477083,0.0,0.0,1
OPSD,DE_LU,2020-06-11,Coarse revenue grid,45.0,0.0,8.459397601624966,13.894400000000001,5.435002398375035,4.34105652173913,5.0325,0.9141589201141636,0.0,0.0,0
