dataset,zone,date,capacity_mwh,method,revenue,hindsight_revenue,regret,battery_revenue,flex_value,imbalance_penalty,negative_revenue
OPSD,DE_LU,2018-10-29,1.0,Prev-day FTO,25.22457061759816,51.760156521739134,26.535585904140973,14.953465217391305,13.177499999999997,2.906394599793137,0
OPSD,DE_LU,2018-10-29,1.0,Rolling-28d mean FTO,38.6920516827126,51.760156521739134,13.068104839026532,22.79238260869566,17.532,1.632330925983052,0
OPSD,DE_LU,2018-10-29,1.0,Robust quantile FTO,34.02145620466001,51.760156521739134,17.73870031707912,20.007082608695654,15.715499999999999,1.7011264040356386,0
OPSD,DE_LU,2018-10-29,1.0,Hindsight optimum,51.760156521739134,51.760156521739134,0.0,29.76115652173913,21.999,0.0,0
OPSD,DE_LU,2018-10-30,1.0,Prev-day FTO,23.927733856302183,37.308452173913054,13.38071831761087,14.291586956521744,11.485500000000004,1.849353100219565,0
OPSD,DE_LU,2018-10-30,1.0,Rolling-28d mean FTO,32.970401072746974,37.308452173913054,4.33805110116608,20.59016086956522,15.5655,3.1852597968182534,0
OPSD,DE_LU,2018-10-30,1.0,Robust quantile FTO,32.891975018667125,37.308452173913054,4.4164771552459285,20.71436086956522,15.646499999999998,3.46888585089809,0
OPSD,DE_LU,2018-10-30,1.0,Hindsight optimum,37.308452173913054,37.308452173913054,0.0,21.31245217391305,15.996000000000004,0.0,0
OPSD,DE_LU,2018-10-31,1.0,Prev-day FTO,75.9339924978718,80.18526086956521,4.251268371693413,47.09306521739131,32.9235,4.082572719519498,0
OPSD,DE_LU,2018-10-31,1.0,Rolling-28d mean FTO,57.4490072823041,80.18526086956521,22.73625358726111,34.48583478260869,25.100999999999996,2.1378275003045912,0
OPSD,DE_LU,2018-10-31,1.0,Robust quantile FTO,69.07936891470536,80.18526086956521,11.105891954859857,41.503134782608704,29.677500000000002,2.10126586790335,0
OPSD,DE_LU,2018-10-31,1.0,Hindsight optimum,80.18526086956521,80.18526086956521,0.0,47.20176086956522,32.9835,0.0,0
OPSD,DE_LU,2018-11-01,1.0,Prev-day FTO,19.908511246091745,30.621173913043485,10.71266266695174,10.835260869565225,11.445000000000002,2.37174962347348,0
OPSD,DE_LU,2018-11-01,1.0,Rolling-28d mean FTO,14.328306301740348,30.621173913043485,16.292867611303137,6.589082608695655,8.7615,1.0222763069553065,0
OPSD,DE_LU,2018-11-01,1.0,Robust quantile FTO,25.022084511418317,30.621173913043485,5.599089401625168,12.718582608695662,12.759,0.4554980972773442,0
OPSD,DE_LU,2018-11-01,1.0,Hindsight optimum,30.621173913043485,30.621173913043485,0.0,15.958673913043484,14.6625,0.0,0
OPSD,DE_LU,2018-11-02,1.0,Prev-day FTO,33.48562942405841,46.352260869565214,12.866631445506805,18.508330434782614,16.83,1.8527010107242012,0
OPSD,DE_LU,2018-11-02,1.0,Rolling-28d mean FTO,34.890859000620914,46.352260869565214,11.4614018689443,19.940965217391316,17.601,2.6511062167704007,0
OPSD,DE_LU,2018-11-02,1.0,Robust quantile FTO,41.28795070666842,46.352260869565214,5.0643101628967955,23.82106521739132,20.131500000000006,2.664614510722905,0
OPSD,DE_LU,2018-11-02,1.0,Hindsight optimum,46.352260869565214,46.352260869565214,0.0,25.36726086956522,20.984999999999996,0.0,0
OPSD,DE_LU,2018-11-03,1.0,Prev-day FTO,14.362423989611116,27.205234782608695,12.842810792997579,8.066943478260882,10.159500000000003,3.8640194886497667,0
OPSD,DE_LU,2018-11-03,1.0,Rolling-28d mean FTO,15.821710270656162,27.205234782608695,11.383524511952533,7.402691304347833,9.6645,1.245481033691671,0
OPSD,DE_LU,2018-11-03,1.0,Robust quantile FTO,17.977108703891087,27.205234782608695,9.228126078717608,8.683791304347842,10.500000000000004,1.2066826004567577,0
OPSD,DE_LU,2018-11-03,1.0,Hindsight optimum,27.205234782608695,27.205234782608695,0.0,13.666234782608697,13.538999999999998,0.0,0
OPSD,DE_LU,2018-11-04,1.0,Prev-day FTO,11.057431441246482,22.04539130434781,10.987959863101327,4.712595652173917,7.7895,1.4446642109274348,0
OPSD,DE_LU,2018-11-04,1.0,Rolling-28d mean FTO,14.424303064068752,22.04539130434781,7.621088240279057,6.8612434782608815,8.985000000000005,1.4219404141921335,0
OPSD,DE_LU,2018-11-04,1.0,Robust quantile FTO,20.43625963170223,22.04539130434781,1.609131672645578,10.210043478260872,11.168999999999997,0.9427838465586381,0
OPSD,DE_LU,2018-11-04,1.0,Hindsight optimum,22.04539130434781,22.04539130434781,0.0,10.639391304347818,11.405999999999993,0.0,0
OPSD,DE_LU,2018-11-05,1.0,Prev-day FTO,22.41159796876863,35.55771304347828,13.146115074709652,12.475560869565228,12.7965,2.8604629007966027,0
OPSD,DE_LU,2018-11-05,1.0,Rolling-28d mean FTO,25.26867713907243,35.55771304347828,10.28903590440585,13.833399999999997,13.754999999999997,2.319722860927564,0
OPSD,DE_LU,2018-11-05,1.0,Robust quantile FTO,21.919248200060665,35.55771304347828,13.638464843417616,11.747300000000003,12.394499999999999,2.2225517999393407,0
OPSD,DE_LU,2018-11-05,1.0,Hindsight optimum,35.55771304347828,35.55771304347828,0.0,18.762213043478276,16.795500000000004,0.0,0
OPSD,DE_LU,2018-11-06,1.0,Prev-day FTO,27.388619225455948,35.15980869565219,7.771189470196241,14.090995652173909,14.137499999999996,0.8398764267179588,0
OPSD,DE_LU,2018-11-06,1.0,Rolling-28d mean FTO,29.27459951291339,35.15980869565219,5.885209182738798,16.340800000000016,15.528000000000006,2.5942004870866313,0
OPSD,DE_LU,2018-11-06,1.0,Robust quantile FTO,30.525719355407347,35.15980869565219,4.6340893402448415,17.03540000000001,15.981000000000002,2.490680644592665,0
OPSD,DE_LU,2018-11-06,1.0,Hindsight optimum,35.15980869565219,35.15980869565219,0.0,18.368808695652184,16.791,0.0,0
OPSD,DE_LU,2018-11-07,1.0,Prev-day FTO,30.442514556369332,33.219043478260886,2.776528921891554,16.136986956521753,15.124500000000005,0.8189724001524251,0
OPSD,DE_LU,2018-11-07,1.0,Rolling-28d mean FTO,28.07195550216743,33.219043478260886,5.147087976093456,15.534526086956532,14.779500000000004,2.2420705847891065,0
OPSD,DE_LU,2018-11-07,1.0,Robust quantile FTO,29.68543490895346,33.219043478260886,3.5336085693074253,16.46832608695653,15.388500000000004,2.171391178003075,0
OPSD,DE_LU,2018-11-07,1.0,Hindsight optimum,33.219043478260886,33.219043478260886,0.0,17.34604347826088,15.873000000000003,0.0,0
OPSD,DE_LU,2018-11-08,1.0,Prev-day FTO,48.678030727562046,50.57576521739129,1.8977344898292472,27.6782652173913,22.897499999999997,1.8977344898292474,0
OPSD,DE_LU,2018-11-08,1.0,Rolling-28d mean FTO,43.85279895707535,50.57576521739129,6.722966260315943,25.99348260869565,21.967499999999998,4.108183651620296,0
OPSD,DE_LU,2018-11-08,1.0,Robust quantile FTO,43.85279895707535,50.57576521739129,6.722966260315943,25.99348260869565,21.967499999999998,4.108183651620296,0
OPSD,DE_LU,2018-11-08,1.0,Hindsight optimum,50.57576521739129,50.57576521739129,0.0,27.6782652173913,22.897499999999997,0.0,0
OPSD,DE_LU,2018-11-09,1.0,Prev-day FTO,19.654306931007113,30.162000000000006,10.507693068992893,9.723860869565236,11.628000000000005,1.6975539385581302,0
OPSD,DE_LU,2018-11-09,1.0,Rolling-28d mean FTO,21.09728072889766,30.162000000000006,9.064719271102348,11.123317391304361,12.400500000000006,2.426536662406711,0
OPSD,DE_LU,2018-11-09,1.0,Robust quantile FTO,18.695276386346272,30.162000000000006,11.466723613653734,9.723860869565236,11.628000000000005,2.6565844832189707,0
OPSD,DE_LU,2018-11-09,1.0,Hindsight optimum,30.162000000000006,30.162000000000006,0.0,15.285000000000004,14.877,0.0,0
OPSD,DE_LU,2018-11-10,1.0,Prev-day FTO,-0.8527955523716919,12.603495652173915,13.456291204545607,0.3252043478260944,4.411500000000004,5.58949990019779,1
OPSD,DE_LU,2018-11-10,1.0,Rolling-28d mean FTO,8.179814366773279,12.603495652173915,4.423681285400637,3.9960956521739064,6.764999999999994,2.581281285400622,0
