zone,method,days,mean_revenue,mean_regret,median_regret,negative_revenue_days,revenue_p05,cvar_10,mean_battery_revenue,mean_flex_value,mean_imbalance_penalty
DE_LU,Hindsight optimum,697,35.55873861892584,0.0,0.0,0,13.529897391304347,12.969183229813666,20.07540289439212,15.483335724533717,0.0
DE_LU,Robust quantile FTO,697,22.673427250421838,12.885311368503993,7.917230683741494,30,1.6018977905898257,-0.1625485236360551,13.643793425238604,11.703624103299855,2.6739902781166207
DE_LU,Rolling-28d mean FTO,697,23.014312230570997,12.544426388354836,8.588656376189086,34,0.13419650521850995,-1.3621911454865678,13.95989535275404,11.885285509325682,2.8308686315087246
DE_LU,Prev-day FTO,697,19.28376203571738,16.274976583208456,9.876696533589168,64,-4.439005861016944,-8.407656058463017,11.60336838625164,10.478638450502151,2.7982448010364123
DK_1,Hindsight optimum,2064,24.85812177283451,0.0,0.0,51,1.5075000000000007,1.2232883007771493,13.600767121671726,11.25735465116279,0.0
DK_1,Robust quantile FTO,2064,10.437527910490015,14.420593862344504,11.241341405089141,601,-9.00173873183689,-10.104771630484942,8.464999437563199,8.155445494186047,6.1829170212592315
DK_1,Rolling-28d mean FTO,2064,10.902954553118592,13.955167219715923,10.964608427741947,573,-8.201284001542883,-9.777252496130245,8.771370471014496,8.356114825581395,6.224530743477299
DK_1,Prev-day FTO,2064,6.959635507518571,17.898486265315945,13.120519212805169,777,-14.019869423756399,-16.026364237607762,6.453243998567579,6.999493459302325,6.493101950351334
DK_2,Hindsight optimum,2064,27.320510452477254,0.0,0.0,36,2.0536834782608833,1.7899572358748181,15.002809144337718,12.317701308139535,0.0
DK_2,Robust quantile FTO,2064,16.8294760835333,10.491034368943954,7.044744619849364,301,-3.2921286101443403,-3.8786062522329177,10.251436876474557,9.391559593023254,2.813520385964513
DK_2,Rolling-28d mean FTO,2064,17.83054349938079,9.48996695309646,6.71739306834591,289,-3.5181796841625483,-3.9354382339386262,10.867881022497475,9.795987645348838,2.833325168465519
DK_2,Prev-day FTO,2064,14.486243990254584,12.83426646222267,8.26707452609017,429,-6.126655201445927,-8.268860700045195,8.813197027721607,8.600497819767442,2.9274508572344664
GB_GBN,Hindsight optimum,2057,39.427640303523496,0.0,0.0,0,20.728866086956522,20.127109328830734,21.7679135169411,17.659726786582404,0.0
GB_GBN,Robust quantile FTO,2057,30.46330537641418,8.964334927109318,5.865604811739097,6,11.463108848826813,10.328276330340278,17.211766054405956,14.840014098201264,1.5884747761930413
GB_GBN,Rolling-28d mean FTO,2057,31.774663361510527,7.652976942012971,5.6221162804769165,5,11.49203426914973,10.338252162581318,18.009274331550806,15.354833495381625,1.5894444654219033
GB_GBN,Prev-day FTO,2057,28.827952165157832,10.59968813836566,7.513656516569299,40,5.997384691102734,3.9866230319533456,16.2044684703346,14.278341759844434,1.6548580650211953
